Most used words by Flume: 
Number of songs scanned: 54

449. weak - 2 uses.
450. second - 2 uses.
451. rush - 2 uses.
452. difference - 2 uses.
453. between - 2 uses.
454. faces - 2 uses.
455. soon - 2 uses.
456. really - 2 uses.
457. ignited - 2 uses.
458. climbin - 2 uses.
459. excited - 2 uses.
460. dive - 2 uses.
461. frightened - 2 uses.
462. used - 2 uses.
463. base - 2 uses.
464. imma - 2 uses.
465. ate - 2 uses.
466. months - 2 uses.
467. guns - 2 uses.
468. rich - 2 uses.
469. wouldnt - 2 uses.
470. 1 - 2 uses.
471. 2 - 2 uses.
472. teeth - 2 uses.
473. forth - 2 uses.
474. mr - 2 uses.
475. charlie - 2 uses.
476. cut - 2 uses.
477. blind - 2 uses.
478. question - 2 uses.
479. position - 2 uses.
480. sit - 2 uses.
481. someone - 2 uses.
482. swallow - 2 uses.
483. calm - 2 uses.
484. peace - 2 uses.
485. proud - 2 uses.
486. brain - 2 uses.
487. bleeding - 2 uses.
488. summer - 2 uses.
489. car - 2 uses.
490. sky - 2 uses.
491. test - 2 uses.
492. poetry - 2 uses.
493. family - 2 uses.
494. white - 2 uses.
495. universe - 2 uses.
496. gravity - 2 uses.
497. forever - 2 uses.
498. step - 2 uses.
499. anything - 2 uses.
500. opposite - 2 uses.
501. also - 2 uses.
502. falls - 2 uses.
503. failed - 2 uses.
504. ignore - 2 uses.
505. fight - 2 uses.
506. lips - 2 uses.
507. next - 2 uses.
508. hearts - 2 uses.
509. spin - 2 uses.
510. mission - 2 uses.
511. vision - 2 uses.
512. plan - 2 uses.
513. listened - 2 uses.
514. streets - 2 uses.
515. o - 2 uses.
516. pillow - 2 uses.
517. case - 2 uses.
518. blood - 2 uses.
519. niece - 2 uses.
520. boyfriend - 2 uses.
521. gasoline - 2 uses.
522. push - 2 uses.
523. blame - 2 uses.
524. pull - 2 uses.
525. share - 2 uses.
526. kind - 2 uses.
527. bay - 2 uses.
528. drinks - 2 uses.
529. chill - 2 uses.
530. lights - 2 uses.
531. nights - 2 uses.
532. classic - 2 uses.
533. door - 2 uses.
534. speak - 2 uses.
535. true - 2 uses.
536. porsche - 2 uses.
537. model - 2 uses.
538. hearing - 2 uses.
539. arms - 2 uses.
540. bright - 2 uses.
541. respect - 2 uses.
542. deck - 2 uses.
543. fantastic - 2 uses.
544. bran - 2 uses.
545. number - 2 uses.
546. says - 2 uses.
547. caught - 2 uses.
548. sand - 2 uses.
549. snake - 2 uses.
550. cage - 2 uses.
551. forgive - 2 uses.
552. absolve - 2 uses.
553. sins - 2 uses.
554. opened - 2 uses.
555. took - 2 uses.
556. lift - 2 uses.
557. pushing - 2 uses.
558. felt - 2 uses.
559. situation - 2 uses.
560. racing - 2 uses.
561. melt - 2 uses.
562. such - 2 uses.
563. walkin - 2 uses.
564. nah - 2 uses.
565. fly - 2 uses.
566. divine - 2 uses.
567. crystals - 2 uses.
568. front - 2 uses.
569. halo - 2 uses.
570. evade - 2 uses.
571. ourselves - 2 uses.
572. bleed - 2 uses.
573. close - 2 uses.
574. killed - 2 uses.
575. mess - 2 uses.
576. callin - 2 uses.
577. whips - 2 uses.
578. dropped - 2 uses.
579. million - 2 uses.
580. dollar - 2 uses.
581. deals - 2 uses.
