Most used words by Porches: 
Number of songs scanned: 71

409. ooooooh - 2 uses.
410. white - 2 uses.
411. grief - 2 uses.
412. warm - 2 uses.
413. eyelids - 2 uses.
414. dumb - 2 uses.
415. fat - 2 uses.
416. cheek - 2 uses.
417. insane - 2 uses.
418. gotta - 2 uses.
419. blow - 2 uses.
420. along - 2 uses.
421. laid - 2 uses.
422. fog - 2 uses.
423. fruits - 2 uses.
424. might - 2 uses.
425. roses - 2 uses.
426. hips - 2 uses.
427. heck - 2 uses.
428. kid - 2 uses.
429. fruit - 2 uses.
430. pit - 2 uses.
431. left - 2 uses.
432. helm - 2 uses.
433. care - 2 uses.
434. send - 2 uses.
435. certainly - 2 uses.
436. drunk - 2 uses.
437. swallow - 2 uses.
438. peach - 2 uses.
439. couch - 2 uses.
440. deeper - 2 uses.
441. somehow - 2 uses.
442. henne - 2 uses.
443. åkeren - 2 uses.
444. ham - 2 uses.
445. lyser - 2 uses.
446. dem - 2 uses.
447. på - 2 uses.
448. parkeringsplassen - 2 uses.
449. fredags - 2 uses.
450. kveld - 2 uses.
451. kirsebær - 2 uses.
452. rød - 2 uses.
453. mot - 2 uses.
454. himmelen - 2 uses.
455. varme - 2 uses.
456. mellom - 2 uses.
457. høy - 2 uses.
458. stjerner - 2 uses.
459. satt - 2 uses.
460. vi - 2 uses.
461. der - 2 uses.
462. svevende - 2 uses.
463. meg - 2 uses.
464. prove - 2 uses.
465. jealousy - 2 uses.
466. hangs - 2 uses.
467. knees - 2 uses.
468. hollow - 2 uses.
469. enter - 2 uses.
470. undone - 2 uses.
471. bodies - 2 uses.
472. ya - 2 uses.
473. nice - 2 uses.
474. loner - 2 uses.
475. theyd - 2 uses.
476. mad - 2 uses.
477. blacked - 2 uses.
478. bet - 2 uses.
479. waaaaaaahhh - 2 uses.
480. learned - 2 uses.
481. flirt - 2 uses.
482. hurt - 2 uses.
483. speak - 2 uses.
484. town - 2 uses.
485. purple - 2 uses.
486. fold - 2 uses.
487. trees - 2 uses.
488. york - 2 uses.
489. slug - 2 uses.
490. skies - 2 uses.
491. stoner - 2 uses.
492. guts - 2 uses.
493. shadow - 2 uses.
494. moons - 2 uses.
495. swam - 2 uses.
496. smoke - 2 uses.
497. cigarettes - 2 uses.
498. best - 2 uses.
499. wine - 2 uses.
500. drive - 2 uses.
501. queen - 2 uses.
502. fault - 2 uses.
503. mirror - 2 uses.
504. received - 2 uses.
505. momma - 2 uses.
506. idiot - 2 uses.
507. offspring - 2 uses.
508. fancy - 2 uses.
509. godly - 2 uses.
510. line - 2 uses.
511. video - 2 uses.
512. 10 - 2 uses.
513. 20 - 2 uses.
514. 30 - 2 uses.
515. 40 - 2 uses.
516. story - 2 uses.
517. safely - 2 uses.
518. until - 2 uses.
519. symbol - 2 uses.
520. rode - 2 uses.
521. picked - 2 uses.
522. shade - 2 uses.
523. fantasy - 2 uses.
524. huhh - 2 uses.
525. met - 2 uses.
526. lap - 2 uses.
527. scream - 2 uses.
528. stuck - 2 uses.
529. famous - 2 uses.
530. spell - 2 uses.
531. loners - 2 uses.
532. loved - 2 uses.
533. lost - 2 uses.
534. loneliness - 2 uses.
535. soul - 2 uses.
536. drink - 2 uses.
537. mongoose - 1 use.
538. suspended - 1 use.
539. six - 1 use.
540. inches - 1 use.
541. rough - 1 use.
542. nine - 1 use.
543. year - 1 use.
544. self - 1 use.
545. cmon - 1 use.
546. ron - 1 use.
547. loosen - 1 use.
548. strung - 1 use.
549. boohoo - 1 use.
550. therapy - 1 use.
551. share - 1 use.
552. french - 1 use.
553. 17 - 1 use.
554. police - 1 use.
555. acting - 1 use.
556. circle - 1 use.
557. snow - 1 use.
558. practicing - 1 use.
559. gash - 1 use.
560. gashing - 1 use.
561. l-o-n-l-y - 1 use.
562. type - 1 use.
563. action - 1 use.
564. formula - 1 use.
565. fashion - 1 use.
566. walking - 1 use.
567. crease - 1 use.
568. ones - 1 use.
569. asking - 1 use.
570. cannot - 1 use.
571. crashing - 1 use.
572. god - 1 use.
573. forbid - 1 use.
574. happen - 1 use.
575. stars - 1 use.
576. smashing - 1 use.
577. vision - 1 use.
578. kept - 1 use.
579. desiring - 1 use.
580. context - 1 use.
581. everythings - 1 use.
582. delicate - 1 use.
583. lit - 1 use.
584. doing - 1 use.
585. follow - 1 use.
586. swallows - 1 use.
587. steam - 1 use.
588. dreams - 1 use.
589. physical - 1 use.
590. awake - 1 use.
591. soak - 1 use.
592. carry - 1 use.
593. dig - 1 use.
594. heels - 1 use.
595. tells - 1 use.
