Most used words by  COIN: 
Number of songs scanned: 57

726. current - 1 uses.
727. events - 1 uses.
728. forward - 1 uses.
729. thinker - 1 uses.
730. tightrope - 1 uses.
731. huh - 1 uses.
732. velvet - 1 uses.
733. pressure - 1 uses.
734. green - 1 uses.
735. silence - 1 uses.
736. hopes - 1 uses.
737. hesitation - 1 uses.
738. wrecking - 1 uses.
739. ball - 1 uses.
740. miserable - 1 uses.
741. swan - 1 uses.
742. dead - 1 uses.
743. drama - 1 uses.
744. seat - 1 uses.
745. royalty - 1 uses.
746. shouldnt - 1 uses.
747. went - 1 uses.
748. vines - 1 uses.
749. hundredth - 1 uses.
750. creep - 1 uses.
751. granted - 1 uses.
752. empty - 1 uses.
753. wasted - 1 uses.
754. werent - 1 uses.
755. follow - 1 uses.
756. weapons - 1 uses.
757. stopped - 1 uses.
758. liked - 1 uses.
759. view - 1 uses.
760. played - 1 uses.
761. games - 1 uses.
762. burn - 1 uses.
763. dragging - 1 uses.
764. grabbing - 1 uses.
765. honestly - 1 uses.
766. easing - 1 uses.
767. accidental - 1 uses.
768. weekend - 1 uses.
769. prove - 1 uses.
770. monday - 1 uses.
771. realize - 1 uses.
772. none - 1 uses.
773. fixed - 1 uses.
774. especially - 1 uses.
775. such - 1 uses.
776. pretty - 1 uses.
777. cigarette - 1 uses.
778. greatest - 1 uses.
779. tape - 1 uses.
780. cassette - 1 uses.
781. brand - 1 uses.
782. dior - 1 uses.
783. jacket - 1 uses.
784. cracked - 1 uses.
785. telephone - 1 uses.
786. ah - 1 uses.
787. downtown - 1 uses.
788. appear - 1 uses.
789. cloud - 1 uses.
790. cigarettes - 1 uses.
791. disregard - 1 uses.
792. boulevard - 1 uses.
793. neck - 1 uses.
794. risk - 1 uses.
795. indigo - 1 uses.
796. awash - 1 uses.
797. tip - 1 uses.
798. top - 1 uses.
799. spark - 1 uses.
800. seeing - 1 uses.
801. fought - 1 uses.
802. slip - 1 uses.
803. step - 1 uses.
804. fists - 1 uses.
805. manner - 1 uses.
806. evangelist - 1 uses.
807. grab - 1 uses.
808. bombs - 1 uses.
809. afraid - 1 uses.
810. hit - 1 uses.
811. los - 1 uses.
812. angeles - 1 uses.
813. naive - 1 uses.
814. rooftops - 1 uses.
815. tight - 1 uses.
816. drove - 1 uses.
817. holiday - 1 uses.
818. wishin - 1 uses.
819. stayed - 1 uses.
820. comfort - 1 uses.
821. static - 1 uses.
822. past - 1 uses.
823. free - 1 uses.
824. stick - 1 uses.
825. town - 1 uses.
826. place - 1 uses.
827. asking - 1 uses.
828. taking - 1 uses.
829. lifetime - 1 uses.
830. kill - 1 uses.
831. lingering - 1 uses.
832. weeks - 1 uses.
833. crawl - 1 uses.
834. sleeve - 1 uses.
835. quietly - 1 uses.
836. bleach - 1 uses.
837. blonde - 1 uses.
838. brunette - 1 uses.
839. breaching - 1 uses.
840. clarity - 1 uses.
841. disappears - 1 uses.
842. impulsive - 1 uses.
843. devotion - 1 uses.
844. carefully - 1 uses.
845. entertainment - 1 uses.
846. parkway - 1 uses.
847. sign - 1 uses.
848. danger - 1 uses.
849. others - 1 uses.
850. rose - 1 uses.
851. cartwheel - 1 uses.
852. 1 - 1 uses.
853. 2 - 1 uses.
854. 3 - 1 uses.
855. american - 1 uses.
856. dreams - 1 uses.
857. thinkin - 1 uses.
