Most used words by Dawes: 
Number of songs scanned: 80

412. itd - 5 uses.
413. waiting - 5 uses.
414. ohhh - 5 uses.
415. details - 5 uses.
416. party - 5 uses.
417. chance - 5 uses.
418. answer - 5 uses.
419. either - 5 uses.
420. met - 5 uses.
421. slowly - 5 uses.
422. set - 5 uses.
423. cold - 5 uses.
424. five - 5 uses.
425. miles - 5 uses.
426. hoping - 5 uses.
427. happen - 5 uses.
428. brothers - 5 uses.
429. root - 5 uses.
430. especially - 5 uses.
431. nobody - 4 uses.
432. table - 4 uses.
433. gives - 4 uses.
434. single - 4 uses.
435. star - 4 uses.
436. maria - 4 uses.
437. remember - 4 uses.
438. blue - 4 uses.
439. keeping - 4 uses.
440. laugh - 4 uses.
441. worth - 4 uses.
442. having - 4 uses.
443. learned - 4 uses.
444. simple - 4 uses.
445. starts - 4 uses.
446. real - 4 uses.
447. broke - 4 uses.
448. lot - 4 uses.
449. remind - 4 uses.
450. guy - 4 uses.
451. work - 4 uses.
452. plan - 4 uses.
453. train - 4 uses.
454. burning - 4 uses.
455. full - 4 uses.
456. dark - 4 uses.
457. latest - 4 uses.
458. writer - 4 uses.
459. singer - 4 uses.
460. putting - 4 uses.
461. fingers - 4 uses.
462. whisper - 4 uses.
463. become - 4 uses.
464. round - 4 uses.
465. die - 4 uses.
466. drawing - 4 uses.
467. evening - 4 uses.
468. stopped - 4 uses.
469. saying - 4 uses.
470. sees - 4 uses.
471. against - 4 uses.
472. yourself - 4 uses.
473. message - 4 uses.
474. share - 4 uses.
475. babe - 4 uses.
476. talking - 4 uses.
477. swimming - 4 uses.
478. car - 4 uses.
479. ignore - 4 uses.
480. clearly - 4 uses.
481. escape - 4 uses.
482. deep - 4 uses.
483. fears - 4 uses.
484. hits - 4 uses.
485. movie - 4 uses.
486. play - 4 uses.
487. years - 4 uses.
488. names - 4 uses.
489. built - 4 uses.
490. cannot - 4 uses.
491. under - 4 uses.
492. wandering - 4 uses.
493. pay - 4 uses.
494. sides - 4 uses.
495. aww - 4 uses.
496. moving - 4 uses.
497. inside - 4 uses.
498. played - 4 uses.
499. control - 4 uses.
500. clouds - 4 uses.
501. somehow - 4 uses.
502. broken - 4 uses.
503. middle - 4 uses.
504. anymore - 4 uses.
505. times - 4 uses.
506. exactly - 4 uses.
507. walk - 4 uses.
508. taste - 4 uses.
509. charms - 4 uses.
510. spend - 4 uses.
511. case - 4 uses.
512. given - 4 uses.
513. greatest - 4 uses.
514. invention - 4 uses.
515. lou - 4 uses.
516. followed - 4 uses.
517. los - 4 uses.
518. angeles - 4 uses.
519. water - 4 uses.
520. secrets - 4 uses.
521. crush - 4 uses.
522. heaven - 4 uses.
523. flies - 4 uses.
524. sadness - 4 uses.
525. twitch - 4 uses.
526. longer - 4 uses.
527. quick - 4 uses.
528. list - 4 uses.
529. anything - 4 uses.
530. st - 4 uses.
531. augustine - 4 uses.
532. wants - 3 uses.
533. keys - 3 uses.
534. shining - 3 uses.
535. empty - 3 uses.
536. step - 3 uses.
537. company - 3 uses.
538. ghost - 3 uses.
539. plans - 3 uses.
540. heal - 3 uses.
541. quick-giving - 3 uses.
542. means - 3 uses.
543. upon - 3 uses.
544. mountain - 3 uses.
545. fisherman - 3 uses.
546. difference - 3 uses.
547. notice - 3 uses.
548. blood - 3 uses.
549. eventually - 3 uses.
550. shoes - 3 uses.
551. themselves - 3 uses.
552. bent - 3 uses.
553. ancient - 3 uses.
554. needed - 3 uses.
555. exist - 3 uses.
556. edge - 3 uses.
557. running - 3 uses.
558. letting - 3 uses.
559. drive - 3 uses.
560. el - 3 uses.
561. wasnt - 3 uses.
562. matter - 3 uses.
563. resist - 3 uses.
564. banging - 3 uses.
565. drum - 3 uses.
566. glimpse - 3 uses.
567. habits - 3 uses.
568. pick - 3 uses.
569. dog - 3 uses.
570. led - 3 uses.
571. figured - 3 uses.
572. writing - 3 uses.
573. easier - 3 uses.
574. joke - 3 uses.
575. wake - 3 uses.
576. walked - 3 uses.
577. holds - 3 uses.
578. ourselves - 3 uses.
579. wall - 3 uses.
580. dad - 3 uses.
581. bands - 3 uses.
582. ricky - 3 uses.
583. bedroom - 3 uses.
584. father - 3 uses.
585. boy - 3 uses.
586. bed - 3 uses.
587. stand - 3 uses.
588. cut - 3 uses.
589. camera - 3 uses.
590. perfect - 3 uses.
591. trees - 3 uses.
592. planning - 3 uses.
593. awaits - 3 uses.
594. endeavors - 3 uses.
595. cutting - 3 uses.
596. tether - 3 uses.
597. clearing - 3 uses.
598. silhouette - 3 uses.
599. bill - 3 uses.
600. steps - 3 uses.
601. finds - 3 uses.
602. shell - 3 uses.
603. least - 3 uses.
604. silent - 3 uses.
605. lead - 3 uses.
606. carefully - 3 uses.
607. resists - 3 uses.
608. understood - 3 uses.
609. hate - 3 uses.
610. static - 3 uses.
611. slow - 3 uses.
612. stereo - 3 uses.
613. reading - 3 uses.
614. forgot - 3 uses.
615. floor - 3 uses.
616. looked - 3 uses.
617. bad - 3 uses.
618. hypnotize - 3 uses.
619. games - 3 uses.
620. shift - 3 uses.
621. rivers - 3 uses.
622. freeways - 3 uses.
623. sleep - 3 uses.
624. leading - 3 uses.
625. failures - 3 uses.
626. tears - 3 uses.
627. guilt - 3 uses.
628. bound - 3 uses.
629. breathe - 3 uses.
630. razor - 3 uses.
631. toothbrush - 3 uses.
632. fleeting - 3 uses.
633. aligned - 3 uses.
634. miss - 3 uses.
635. tv - 3 uses.
636. proof - 3 uses.
637. bet - 3 uses.
638. plays - 3 uses.
639. prayers - 3 uses.
640. lived - 3 uses.
641. facts - 3 uses.
642. itself - 3 uses.
643. scarier - 3 uses.
644. sad - 3 uses.
645. strong - 3 uses.
646. birmingham - 3 uses.
647. fight - 3 uses.
648. okay - 3 uses.
649. isnt - 3 uses.
650. slip - 3 uses.
651. born - 3 uses.
652. lonely - 3 uses.
653. constant - 3 uses.
654. stumble - 3 uses.
655. streets - 3 uses.
656. beyond - 3 uses.
657. attend - 3 uses.
658. tellin - 3 uses.
659. complete - 3 uses.
660. collection - 3 uses.
661. reflections - 3 uses.
662. all-out - 3 uses.
663. rejection - 3 uses.
664. imperfections - 3 uses.
665. different - 3 uses.
666. showed - 3 uses.
667. scene - 3 uses.
668. falling - 3 uses.
669. nature - 3 uses.
670. sitting - 3 uses.
671. woman - 3 uses.
672. theyll - 3 uses.
673. drawn - 3 uses.
674. others - 3 uses.
675. clean - 3 uses.
676. maid - 3 uses.
677. wouldnt - 3 uses.
678. paid - 3 uses.
679. working - 3 uses.
680. mornings - 3 uses.
681. stops - 3 uses.
682. worse - 3 uses.
683. loneliness - 3 uses.
684. peace - 3 uses.
685. protect - 3 uses.
686. return - 3 uses.
687. lacks - 3 uses.
688. beer - 3 uses.
689. taught - 3 uses.
690. losing - 3 uses.
691. favorites - 3 uses.
692. favors - 3 uses.
693. greater - 3 uses.
694. starin - 3 uses.
695. revelations - 3 uses.
696. center - 3 uses.
697. tomorrow - 3 uses.
698. marie - 3 uses.
699. places - 3 uses.
700. angle - 3 uses.
701. brief - 3 uses.
702. tumbled - 3 uses.
703. kiss - 3 uses.
704. save - 3 uses.
705. pray - 3 uses.
706. stage - 3 uses.
707. direction - 3 uses.
708. wed - 3 uses.
709. special - 3 uses.
710. tragic - 3 uses.
711. wrap - 3 uses.
712. young - 3 uses.
713. roam - 3 uses.
714. flicker - 2 uses.
715. power - 2 uses.
716. stretch - 2 uses.
717. fog - 2 uses.
718. weeks - 2 uses.
719. forward - 2 uses.
720. possibly - 2 uses.
721. hair - 2 uses.
722. called - 2 uses.
723. changed - 2 uses.
724. bright - 2 uses.
725. hid - 2 uses.
726. often - 2 uses.
727. tumbling - 2 uses.
728. dry - 2 uses.
729. sweet - 2 uses.
730. cept - 2 uses.
731. above - 2 uses.
732. rain - 2 uses.
733. counting - 2 uses.
734. fast - 2 uses.
735. fateful - 2 uses.
736. settled - 2 uses.
737. began - 2 uses.
738. midnight - 2 uses.
739. betrays - 2 uses.
740. chasing - 2 uses.
741. sending - 2 uses.
742. joy - 2 uses.
743. bar - 2 uses.
744. danger - 2 uses.
745. vision - 2 uses.
746. restlessness - 2 uses.
747. hills - 2 uses.
748. storm - 2 uses.
749. form - 2 uses.
750. connect - 2 uses.
751. regrets - 2 uses.
752. tortured - 2 uses.
753. lips - 2 uses.
754. trail - 2 uses.
755. signature - 2 uses.
756. board - 2 uses.
757. spirit - 2 uses.
758. language - 2 uses.
759. shed - 2 uses.
760. cards - 2 uses.
761. crystal - 2 uses.
762. neck - 2 uses.
763. presence - 2 uses.
764. grasp - 2 uses.
765. nerve - 2 uses.
766. excuses - 2 uses.
767. needs - 2 uses.
768. dwell - 2 uses.
769. findin - 2 uses.
770. initial - 2 uses.
771. skin - 2 uses.
772. dust - 2 uses.
773. surrender - 2 uses.
774. sacred - 2 uses.
775. cleaning - 2 uses.
776. neighborhood - 2 uses.
777. friend - 2 uses.
778. thanked - 2 uses.
779. biggest - 2 uses.
780. folks - 2 uses.
781. ugly - 2 uses.
782. bridges - 2 uses.
783. faces - 2 uses.
784. towards - 2 uses.
785. join - 2 uses.
786. leg - 2 uses.
787. police - 2 uses.
788. cars - 2 uses.
789. quickly - 2 uses.
790. son - 2 uses.
791. six - 2 uses.
792. death - 2 uses.
793. smiling - 2 uses.
794. asks - 2 uses.
795. brought - 2 uses.
796. invitations - 2 uses.
797. worry - 2 uses.
798. ring - 2 uses.
799. red - 2 uses.
800. doctors - 2 uses.
801. somethin - 2 uses.
802. workin - 2 uses.
803. frankly - 2 uses.
804. remiss - 2 uses.
805. painful - 2 uses.
806. coat - 2 uses.
807. hang - 2 uses.
808. hall - 2 uses.
809. pictures - 2 uses.
810. tender - 2 uses.
811. watched - 2 uses.
812. booked - 2 uses.
813. whenever - 2 uses.
814. within - 2 uses.
815. family - 2 uses.
816. rumors - 2 uses.
817. school - 2 uses.
818. stuck - 2 uses.
819. pools - 2 uses.
820. drunk - 2 uses.
821. spends - 2 uses.
822. hasnt - 2 uses.
823. interrupt - 2 uses.
824. laying - 2 uses.
825. jackets - 2 uses.
826. ash - 2 uses.
827. wherever - 2 uses.
828. planet - 2 uses.
829. attention - 2 uses.
830. barely - 2 uses.
831. screen - 2 uses.
832. awful - 2 uses.
833. standing - 2 uses.
834. yard - 2 uses.
835. million - 2 uses.
836. earth - 2 uses.
837. stone - 2 uses.
838. tear - 2 uses.
839. ready - 2 uses.
840. mouth - 2 uses.
841. anybodys - 2 uses.
842. disappeared - 2 uses.
843. spending - 2 uses.
844. vacation - 2 uses.
845. ears - 2 uses.
846. sends - 2 uses.
847. advance - 2 uses.
848. flame - 2 uses.
849. beginnings - 2 uses.
850. image - 2 uses.
851. loud - 2 uses.
852. walking - 2 uses.
853. depths - 2 uses.
854. smiles - 2 uses.
855. 1 - 2 uses.
856. wide - 2 uses.
857. welcome - 2 uses.
858. waking - 2 uses.
859. children - 2 uses.
860. separation - 2 uses.
861. debate - 2 uses.
862. also - 2 uses.
863. belongs - 2 uses.
864. chest - 2 uses.
865. grave - 2 uses.
866. filter - 2 uses.
867. girls - 2 uses.
868. pool - 2 uses.
869. glasses - 2 uses.
870. pull - 2 uses.
871. recognize - 2 uses.
872. seemed - 2 uses.
873. waits - 2 uses.
874. burn - 2 uses.
875. gotta - 2 uses.
876. books - 2 uses.
877. rock - 2 uses.
878. n - 2 uses.
879. rent - 2 uses.
880. chair - 2 uses.
881. flight - 2 uses.
882. pointing - 2 uses.
883. exits - 2 uses.
884. prayer - 2 uses.
885. birthday - 2 uses.
886. ignoring - 2 uses.
887. shadows - 2 uses.
888. satellites - 2 uses.
889. correct - 2 uses.
890. slave - 2 uses.
891. finished - 2 uses.
892. darkness - 2 uses.
893. wind - 2 uses.
894. punched - 2 uses.
895. opposing - 2 uses.
896. season - 2 uses.
897. boat - 2 uses.
898. already - 2 uses.
899. dinner - 2 uses.
900. three - 2 uses.
901. dancing - 2 uses.
902. doors - 2 uses.
903. drop - 2 uses.
904. decide - 2 uses.
905. letters - 2 uses.
906. spread - 2 uses.
907. learn - 2 uses.
908. sung - 2 uses.
909. search - 2 uses.
910. buy - 2 uses.
911. shit - 2 uses.
912. feelings - 2 uses.
913. matters - 2 uses.
914. paper - 2 uses.
915. black - 2 uses.
916. value - 2 uses.
917. breaks - 2 uses.
918. bones - 2 uses.
919. allow - 2 uses.
920. ship - 2 uses.
921. maps - 2 uses.
922. cross - 2 uses.
923. nice - 2 uses.
924. hide - 2 uses.
925. swim - 2 uses.
926. waters - 2 uses.
927. terrified - 2 uses.
928. driving - 2 uses.
929. lack - 2 uses.
930. distance - 2 uses.
931. self - 2 uses.
932. patiently - 2 uses.
933. afternoon - 2 uses.
934. sleeping - 2 uses.
935. record - 2 uses.
936. universe - 2 uses.
937. continues - 2 uses.
938. being - 2 uses.
939. remembering - 2 uses.
940. silence - 2 uses.
941. child - 2 uses.
942. beauty - 2 uses.
943. anywhere - 2 uses.
944. madness - 2 uses.
945. confuse - 2 uses.
946. pride - 2 uses.
947. explain - 2 uses.
948. sweeps - 2 uses.
949. teach - 2 uses.
950. proud - 2 uses.
951. ‘cause - 2 uses.
952. expect - 2 uses.
953. such - 2 uses.
954. shirt - 2 uses.
955. game - 2 uses.
956. works - 2 uses.
957. quote - 2 uses.
958. sick - 2 uses.
959. endless - 2 uses.
960. second - 2 uses.
961. chose - 2 uses.
962. state - 2 uses.
963. losers - 2 uses.
964. dirt - 2 uses.
965. gettin - 2 uses.
966. harder - 2 uses.
967. keepin - 2 uses.
968. versions - 2 uses.
969. eternity - 2 uses.
970. revelation - 2 uses.
971. boys - 2 uses.
972. alamo - 2 uses.
973. cusack - 2 uses.
974. juliet - 2 uses.
975. romeo - 2 uses.
976. exchange - 2 uses.
977. singing - 2 uses.
978. snow - 2 uses.
979. reaching - 2 uses.
980. curse - 2 uses.
981. guide - 2 uses.
982. cigarettes - 2 uses.
983. follow - 2 uses.
984. evidence - 2 uses.
985. drill - 2 uses.
986. beside - 2 uses.
987. drinks - 2 uses.
988. plane - 2 uses.
989. wondering - 2 uses.
990. movies - 2 uses.
991. code - 2 uses.
992. pulls - 2 uses.
993. straight - 2 uses.
994. sway - 2 uses.
995. glad - 2 uses.
996. front - 2 uses.
997. corner - 2 uses.
998. revealed - 2 uses.
999. must - 2 uses.
1000. cast - 2 uses.
1001. fishing - 2 uses.
1002. hoped - 2 uses.
1003. heat - 2 uses.
1004. roads - 2 uses.
1005. barricade - 2 uses.
1006. chemical - 2 uses.
1007. effects - 2 uses.
1008. leaving - 2 uses.
1009. actor - 2 uses.
1010. hed - 2 uses.
1011. clock - 2 uses.
1012. sorrow - 2 uses.
1013. everythings - 2 uses.
1014. frame - 2 uses.
1015. faith - 2 uses.
1016. miracles - 2 uses.
1017. sailor - 2 uses.
1018. sunset - 2 uses.
1019. fear - 2 uses.
1020. soft - 2 uses.
1021. temper - 2 uses.
1022. fits - 2 uses.
1023. reminder - 2 uses.
1024. weight - 2 uses.
1025. balthazar - 2 uses.
1026. eat - 2 uses.
1027. pressed - 2 uses.
1028. gods - 2 uses.
1029. winning - 2 uses.
1030. spinning - 2 uses.
1031. pulling - 2 uses.
1032. bird - 2 uses.
1033. worst - 2 uses.
1034. sense - 2 uses.
1035. height - 2 uses.
1036. conclusion - 2 uses.
1037. path - 2 uses.
1038. victim - 2 uses.
1039. wanders - 2 uses.
1040. watchin - 2 uses.
1041. sets - 2 uses.
1042. rise - 2 uses.
1043. peak - 2 uses.
1044. shore - 2 uses.
1045. wander - 2 uses.
1046. struggle - 2 uses.
1047. burden - 2 uses.
1048. spell - 2 uses.
1049. known - 2 uses.
1050. defend - 2 uses.
1051. directions - 2 uses.
1052. drew - 2 uses.
1053. tells - 2 uses.
1054. goodbyes - 2 uses.
1055. sister - 2 uses.
1056. conscience - 2 uses.
1057. funny - 2 uses.
1058. lie - 2 uses.
1059. judge - 2 uses.
1060. sparkle - 2 uses.
1061. yes - 2 uses.
1062. abyss - 2 uses.
1063. plot - 2 uses.
1064. shop - 2 uses.
1065. count - 2 uses.
1066. ya - 2 uses.
1067. upset - 2 uses.
1068. screaming - 2 uses.
1069. chaperone - 2 uses.
1070. camino - 2 uses.
1071. remains - 2 uses.
1072. kings - 2 uses.
1073. valley - 2 uses.
1074. smoke - 2 uses.
1075. guided - 2 uses.
1076. serve - 2 uses.
1077. page - 2 uses.
1078. poor - 2 uses.
1079. highway - 2 uses.
1080. stood - 2 uses.
1081. cleared - 2 uses.
1082. slide - 2 uses.
1083. march - 2 uses.
1084. bath - 2 uses.
1085. kill - 2 uses.
1086. candle - 1 use.
1087. reacting - 1 use.
1088. relive - 1 use.
1089. situation - 1 use.
1090. valet - 1 use.
1091. sizzle - 1 use.
1092. buzz - 1 use.
1093. sadder - 1 use.
1094. streetlight - 1 use.
1095. sidewalk - 1 use.
1096. lifted - 1 use.
1097. perfecting - 1 use.
1098. art - 1 use.
1099. green - 1 use.
1100. across - 1 use.
1101. infamous - 1 use.
1102. imagine - 1 use.
1103. signed - 1 use.
1104. autographs - 1 use.
1105. skipping - 1 use.
1106. ending - 1 use.
1107. texas - 1 use.
1108. problems - 1 use.
1109. wear - 1 use.
1110. shoulder - 1 use.
1111. friday - 1 use.
1112. neither - 1 use.
1113. wounds - 1 use.
1114. whether - 1 use.
1115. pause - 1 use.
1116. presentations - 1 use.
1117. scattered - 1 use.
1118. ever-busy - 1 use.
1119. distant - 1 use.
1120. range - 1 use.
1121. sticking - 1 use.
1122. willing - 1 use.
1123. card - 1 use.
1124. seas - 1 use.
1125. land - 1 use.
1126. bitter - 1 use.
1127. casting - 1 use.
1128. abandonment - 1 use.
1129. ceiling - 1 use.
1130. bearing - 1 use.
1131. starry - 1 use.
1132. brakeman - 1 use.
1133. hurtling - 1 use.
1134. fevered - 1 use.
1135. crashing - 1 use.
1136. a-headlong - 1 use.
1137. heartland - 1 use.
1138. cannon - 1 use.
1139. beating - 1 use.
1140. sleepers - 1 use.
1141. coal - 1 use.
1142. towns - 1 use.
1143. passing - 1 use.
