Most used words by Phoenix: 
Number of songs scanned: 57

394. lying - 3 uses.
395. feels - 3 uses.
396. ends - 3 uses.
397. known - 3 uses.
398. help - 3 uses.
399. stormy - 3 uses.
400. playing - 3 uses.
401. hill - 3 uses.
402. business - 3 uses.
403. trouble - 3 uses.
404. running - 3 uses.
405. clear - 3 uses.
406. view - 3 uses.
407. catch - 3 uses.
408. drifting - 3 uses.
409. reach - 3 uses.
410. you¹ve - 3 uses.
411. shit - 3 uses.
412. breathe - 3 uses.
413. honest - 3 uses.
414. advice - 3 uses.
415. wreck - 3 uses.
416. ship - 3 uses.
417. felt - 3 uses.
418. dream - 3 uses.
419. gotta - 3 uses.
420. new - 3 uses.
421. seriously - 3 uses.
422. rip - 3 uses.
423. middle - 3 uses.
424. fingers - 3 uses.
425. missing - 3 uses.
426. turning - 3 uses.
427. smile - 3 uses.
428. inside - 3 uses.
429. unless - 3 uses.
430. god - 3 uses.
431. withdrawn - 3 uses.
432. old - 3 uses.
433. matters - 3 uses.
434. recruited - 3 uses.
435. shouldnt - 3 uses.
436. whole - 3 uses.
437. started - 3 uses.
438. tune - 3 uses.
439. sing - 3 uses.
440. sha - 3 uses.
441. bet - 3 uses.
442. false - 3 uses.
443. alarm - 3 uses.
444. both - 3 uses.
445. holy - 3 uses.
446. full - 3 uses.
447. jai - 3 uses.
448. pas - 3 uses.
449. excited - 3 uses.
450. boys - 3 uses.
451. castle - 3 uses.
452. trashing - 3 uses.
453. motels - 3 uses.
454. free - 3 uses.
455. gold - 3 uses.
456. single - 3 uses.
457. trigger - 3 uses.
458. que - 3 uses.
459. light - 3 uses.
460. cigarette - 3 uses.
461. future - 3 uses.
462. father - 3 uses.
463. son - 3 uses.
464. september - 3 uses.
465. posso - 3 uses.
466. bisogno - 3 uses.
467. decided - 3 uses.
468. intorno - 3 uses.
469. beside - 3 uses.
470. debut - 3 uses.
471. instead - 3 uses.
472. makes - 3 uses.
473. gratitude - 3 uses.
474. logic - 3 uses.
475. fever - 3 uses.
476. empty - 3 uses.
477. read - 3 uses.
478. main - 3 uses.
479. hall - 3 uses.
480. hate - 3 uses.
481. longing - 3 uses.
482. happen - 3 uses.
483. talked - 3 uses.
484. pieces - 3 uses.
485. girl - 3 uses.
486. side - 3 uses.
487. chained - 3 uses.
488. consequences - 3 uses.
489. couple - 3 uses.
490. laughed - 3 uses.
491. succeed - 3 uses.
492. death - 3 uses.
493. entertain - 3 uses.
494. misunderstand - 3 uses.
495. must - 3 uses.
496. failure - 3 uses.
497. evil - 3 uses.
498. citys - 3 uses.
499. weve - 3 uses.
500. fortunate - 3 uses.
501. slowly - 3 uses.
502. discouraged - 3 uses.
503. favorite - 3 uses.
504. ending - 3 uses.
505. gentlemen - 3 uses.
506. ooh - 3 uses.
507. showtime - 3 uses.
508. lasso - 3 uses.
509. today - 3 uses.
510. normal - 3 uses.
511. liar - 3 uses.
512. died - 3 uses.
513. most - 3 uses.
514. justice - 3 uses.
515. stolen - 3 uses.
516. silhouette - 3 uses.
517. promise - 3 uses.
518. working - 3 uses.
519. message - 3 uses.
520. promises - 3 uses.
521. nights - 3 uses.
522. collection - 3 uses.
523. heaven - 3 uses.
524. hands - 3 uses.
525. forgotten - 3 uses.
526. p-a-s-t - 3 uses.
527. myself - 3 uses.
528. suits - 3 uses.
529. already - 3 uses.
530. break - 3 uses.
531. happy - 3 uses.
532. cross - 3 uses.
533. bright - 3 uses.
534. consolation - 3 uses.
535. prizes - 3 uses.
536. spit - 3 uses.
537. chewing - 3 uses.
538. gum - 3 uses.
539. hair—yeah - 3 uses.
540. lovelife - 3 uses.
541. dawn - 3 uses.
542. wired - 3 uses.
543. join - 3 uses.
544. roll - 3 uses.
545. dice - 3 uses.
546. un - 3 uses.
547. ruined - 3 uses.
548. diving - 3 uses.
549. midnight - 3 uses.
550. filled - 3 uses.
551. story - 2 uses.
552. knees - 2 uses.
553. slowdown - 2 uses.
554. tomorrowll - 2 uses.
555. alive - 2 uses.
556. chaos - 2 uses.
557. deny - 2 uses.
558. accept - 2 uses.
559. breeze - 2 uses.
560. dignity - 2 uses.
561. victory - 2 uses.
562. balance - 2 uses.
563. tight - 2 uses.
564. rope - 2 uses.
565. feeding - 2 uses.
566. went - 2 uses.
567. happiness - 2 uses.
568. somebody - 2 uses.
569. dark - 2 uses.
570. solitude - 2 uses.
571. waterfront - 2 uses.
572. ones - 2 uses.
573. door - 2 uses.
574. sittin - 2 uses.
575. tails - 2 uses.
576. sins - 2 uses.
577. darkest - 2 uses.
578. i¹ve - 2 uses.
579. six - 2 uses.
580. morning - 2 uses.
581. forsaken - 2 uses.
582. yours - 2 uses.
583. cry - 2 uses.
584. countdown - 2 uses.
585. tower - 2 uses.
586. phone - 2 uses.
587. saying - 2 uses.
588. nobody - 2 uses.
589. okay - 2 uses.
590. mean - 2 uses.
591. tryna - 2 uses.
592. drowned - 2 uses.
593. pain - 2 uses.
594. rose - 2 uses.
595. phoenix - 2 uses.
596. rise - 2 uses.
597. vacation - 2 uses.
598. hit - 2 uses.
599. ages - 2 uses.
600. saw - 2 uses.
601. shouting - 2 uses.
602. feeling - 2 uses.
603. coming - 2 uses.
604. breakfast - 2 uses.
605. resist - 2 uses.
606. unlit - 2 uses.
607. bottom - 2 uses.
608. rumble - 2 uses.
609. yell - 2 uses.
610. against - 2 uses.
611. orders - 2 uses.
612. alphabetical - 2 uses.
613. wouldve - 2 uses.
614. perspective - 2 uses.
615. ago - 2 uses.
616. adolescent - 2 uses.
617. english - 2 uses.
618. cruise - 2 uses.
619. bartending - 2 uses.
620. crucial - 2 uses.
621. destined - 2 uses.
622. wise - 2 uses.
623. socialize - 2 uses.
624. fires - 2 uses.
625. suffer - 2 uses.
626. fanatic - 2 uses.
627. white - 2 uses.
628. champagne - 2 uses.
629. réveilles - 2 uses.
630. different - 2 uses.
631. second - 2 uses.
632. sommeil - 2 uses.
633. listen - 2 uses.
634. send - 2 uses.
635. reason - 2 uses.
636. smash - 2 uses.
637. delete - 2 uses.
638. spectacle - 2 uses.
639. glass - 2 uses.
640. porcelain - 2 uses.
641. sell - 2 uses.
642. silverware - 2 uses.
643. melt - 2 uses.
644. laughter - 2 uses.
645. buy - 2 uses.
646. ticket - 2 uses.
647. lesson - 2 uses.
648. protocol - 2 uses.
649. fit - 2 uses.
650. illusions - 2 uses.
651. leather - 2 uses.
652. lately - 2 uses.
653. forgive - 2 uses.
654. therere - 2 uses.
655. standing - 2 uses.
656. legs - 2 uses.
657. est - 2 uses.
658. à - 2 uses.
659. sais - 2 uses.
660. drakkar - 2 uses.
661. noir - 2 uses.
662. tales - 2 uses.
663. junkie - 2 uses.
664. standard - 2 uses.
665. mediocre - 2 uses.
666. tumble - 2 uses.
667. jump - 2 uses.
668. stumble - 2 uses.
669. lancelot - 2 uses.
670. twenty-year-old - 2 uses.
671. lava - 2 uses.
672. salomé - 2 uses.
673. frutti - 2 uses.
674. mare - 2 uses.
675. innamorato - 2 uses.
676. agitato - 2 uses.
677. movie - 2 uses.
678. bought - 2 uses.
679. case - 2 uses.
680. early - 2 uses.
681. plan - 2 uses.
682. visit - 2 uses.
683. telefono - 2 uses.
684. ringing - 2 uses.
