Most used words by Drake: 
Number of songs scanned: 365

382. wave - 42 uses.
383. outta - 42 uses.
384. houstatlantavegas - 42 uses.
385. party - 42 uses.
386. family - 41 uses.
387. takin - 41 uses.
388. cold - 41 uses.
389. – - 41 uses.
390. second - 41 uses.
391. cut - 41 uses.
392. ahead - 41 uses.
393. loved - 41 uses.
394. truth - 41 uses.
395. saying - 41 uses.
396. bigger - 41 uses.
397. hands - 41 uses.
398. business - 41 uses.
399. must - 41 uses.
400. lil - 41 uses.
401. sick - 41 uses.
402. rappers - 40 uses.
403. changed - 40 uses.
404. woman - 40 uses.
405. fake - 40 uses.
406. fast - 40 uses.
407. slow - 40 uses.
408. makin - 40 uses.
409. under - 40 uses.
410. bed - 40 uses.
411. playin - 40 uses.
412. meet - 40 uses.
413. mad - 40 uses.
414. peace - 40 uses.
415. dreams - 40 uses.
416. thinkin - 39 uses.
417. hair - 39 uses.
418. streets - 39 uses.
419. double - 39 uses.
420. act - 39 uses.
421. caught - 39 uses.
422. close - 39 uses.
423. plan - 39 uses.
424. havent - 39 uses.
425. taking - 39 uses.
426. weezy - 39 uses.
427. fancy - 39 uses.
428. shot - 38 uses.
429. lean - 38 uses.
430. crib - 38 uses.
431. shut - 38 uses.
432. account - 38 uses.
433. air - 38 uses.
434. clothes - 38 uses.
435. deal - 38 uses.
436. pain - 38 uses.
437. town - 38 uses.
438. room - 38 uses.
439. picture - 38 uses.
440. wouldve - 38 uses.
441. momma - 38 uses.
442. cannot - 38 uses.
443. dedicate - 38 uses.
444. oh-oh - 38 uses.
445. doesnt - 37 uses.
446. waiting - 37 uses.
447. stand - 37 uses.
448. gets - 37 uses.
449. bit - 37 uses.
450. harder - 37 uses.
451. star - 37 uses.
452. count - 37 uses.
453. brand-new - 37 uses.
454. controlla - 37 uses.
455. supposed - 36 uses.
456. fact - 36 uses.
457. telling - 36 uses.
458. send - 36 uses.
459. special - 36 uses.
460. front - 36 uses.
461. bounce - 36 uses.
462. bought - 36 uses.
463. busy - 36 uses.
464. quick - 36 uses.
465. foot - 36 uses.
466. either - 36 uses.
467. running - 36 uses.
468. ting - 36 uses.
469. feelings - 35 uses.
470. roll - 35 uses.
471. ten - 35 uses.
472. funny - 35 uses.
473. touch - 35 uses.
474. whip - 35 uses.
475. stick - 35 uses.
476. instead - 35 uses.
477. belong - 35 uses.
478. trip - 35 uses.
479. poppin - 35 uses.
480. lonely - 35 uses.
481. soul - 35 uses.
482. runnin - 35 uses.
483. cry - 35 uses.
484. jumpman - 35 uses.
485. brothers - 34 uses.
486. school - 34 uses.
487. livin - 34 uses.
488. stunt - 34 uses.
489. least - 34 uses.
490. white - 34 uses.
491. dark - 34 uses.
492. paid - 34 uses.
493. lord - 34 uses.
494. perfect - 33 uses.
495. nights - 33 uses.
496. living - 33 uses.
497. paper - 33 uses.
498. playing - 33 uses.
499. five - 33 uses.
500. words - 33 uses.
501. happen - 33 uses.
502. homie - 33 uses.
503. bro - 33 uses.
504. mane - 33 uses.
505. problem - 32 uses.
506. champagne - 32 uses.
507. control - 32 uses.
508. hood - 32 uses.
509. morning - 32 uses.
510. skrrt - 32 uses.
511. heat - 32 uses.
512. record - 32 uses.
513. blow - 32 uses.
514. very - 32 uses.
515. explain - 32 uses.
516. none - 32 uses.
517. fire - 32 uses.
518. shouldve - 32 uses.
519. plug - 32 uses.
520. sorry - 32 uses.
521. thank - 32 uses.
522. behind - 32 uses.
523. the-get - 32 uses.
524. apart - 32 uses.
525. bath - 32 uses.
