Most used words by Hatchie: 
Number of songs scanned: 19

390. hung - 1 use.
391. myself - 1 use.
392. dry - 1 use.
393. clip - 1 use.
394. outgrow - 1 use.
395. follow - 1 use.
396. happens - 1 use.
397. greater - 1 use.
398. receive - 1 use.
399. summer - 1 use.
400. isnt - 1 use.
401. pretended - 1 use.
402. strong - 1 use.
403. real - 1 use.
404. bitter - 1 use.
405. surreal - 1 use.
406. echo - 1 use.
407. shot - 1 use.
408. arrow - 1 use.
409. shadow - 1 use.
410. dying - 1 use.
411. show - 1 use.
412. spark - 1 use.
413. until - 1 use.
414. starves - 1 use.
415. new - 1 use.
416. town - 1 use.
417. thousand - 1 use.
418. miles - 1 use.
419. sidelines - 1 use.
420. cynical - 1 use.
421. muse - 1 use.
422. offer - 1 use.
423. refuse - 1 use.
424. record - 1 use.
425. realised - 1 use.
426. walked - 1 use.
427. honey - 1 use.
428. chance - 1 use.
429. gun - 1 use.
430. begged - 1 use.
431. waited - 1 use.
432. wait - 1 use.
433. someone - 1 use.
434. babe - 1 use.
435. head - 1 use.
436. tangled - 1 use.
437. sneaking - 1 use.
438. leaving - 1 use.
439. keeping - 1 use.
440. leading - 1 use.
441. repeating - 1 use.
442. reasons - 1 use.
443. ooh - 1 use.
444. feelings - 1 use.
445. worse - 1 use.
446. hesitate - 1 use.
447. burnt - 1 use.
448. meant - 1 use.
449. hear - 1 use.
450. steer - 1 use.
451. reconcile - 1 use.
452. second - 1 use.
453. position - 1 use.
454. sometimes - 1 use.
455. others - 1 use.
456. learn - 1 use.
457. lie - 1 use.
458. ah-ah-ah-ah - 1 use.
459. closed - 1 use.
460. get-go - 1 use.
461. seemed - 1 use.
462. climb - 1 use.
463. echoes - 1 use.
464. hit - 1 use.
465. harder - 1 use.
466. believed - 1 use.
467. free - 1 use.
468. rather - 1 use.
469. bring - 1 use.
470. purest - 1 use.
471. lesson - 1 use.
472. moon - 1 use.
473. handle - 1 use.
474. sugar - 1 use.
475. spice - 1 use.
476. taken - 1 use.
477. advice - 1 use.
478. found - 1 use.
479. words - 1 use.
480. burn - 1 use.
481. fastest - 1 use.
482. lost - 1 use.
