Most used words by Suede: 
Number of songs scanned: 170

767. workers - 4 uses.
768. beauty - 4 uses.
769. asphalt - 4 uses.
770. even - 4 uses.
771. notice - 4 uses.
772. birdsong - 4 uses.
773. hopes - 4 uses.
774. sells - 4 uses.
775. waiting - 3 uses.
776. earth - 3 uses.
777. thrown - 3 uses.
778. feathers - 3 uses.
779. geese - 3 uses.
780. flesh - 3 uses.
781. tumbling - 3 uses.
782. isnt - 3 uses.
783. couldnt - 3 uses.
784. elses - 3 uses.
785. bracelets - 3 uses.
786. cellophane - 3 uses.
787. slimming - 3 uses.
788. impossible - 3 uses.
789. ten - 3 uses.
790. race - 3 uses.
791. stab - 3 uses.
792. horrible - 3 uses.
793. looked - 3 uses.
794. smoking - 3 uses.
795. dancing - 3 uses.
796. drinking - 3 uses.
797. pig - 3 uses.
798. diesel - 3 uses.
799. cracked - 3 uses.
800. pill - 3 uses.
801. bands - 3 uses.
802. age - 3 uses.
803. england - 3 uses.
804. governments - 3 uses.
805. shed - 3 uses.
806. daddy - 3 uses.
807. best - 3 uses.
808. weight - 3 uses.
809. stand - 3 uses.
810. carpenters - 3 uses.
811. stains - 3 uses.
812. spin - 3 uses.
813. smother - 3 uses.
814. satellite - 3 uses.
815. moneys - 3 uses.
816. friend - 3 uses.
817. latinos - 3 uses.
818. mexicans - 3 uses.
819. li-da-di-da-dioh - 3 uses.
820. wanted - 3 uses.
821. situations - 3 uses.
822. anybody - 3 uses.
823. silver - 3 uses.
824. early - 3 uses.
825. drip - 3 uses.
826. neon - 3 uses.
827. parked - 3 uses.
828. shiny - 3 uses.
829. superstar - 3 uses.
830. colour - 3 uses.
831. door - 3 uses.
832. against - 3 uses.
833. breast - 3 uses.
834. works - 3 uses.
835. gave - 3 uses.
836. donk - 3 uses.
837. fold - 3 uses.
838. camilla - 3 uses.
839. escape - 3 uses.
840. tender - 3 uses.
841. trigger - 3 uses.
842. taste - 3 uses.
843. shuffle - 3 uses.
844. savage - 3 uses.
845. burdens - 3 uses.
846. softly - 3 uses.
847. maze - 3 uses.
848. sheets - 3 uses.
849. flower - 3 uses.
850. dead-eyed - 3 uses.
851. drive-by - 3 uses.
852. sophistication - 3 uses.
853. americana - 3 uses.
854. suntan - 3 uses.
855. petrol - 3 uses.
856. suffer - 3 uses.
857. death - 3 uses.
858. god - 3 uses.
859. dole - 3 uses.
860. system - 3 uses.
861. sister - 3 uses.
862. taxis - 3 uses.
863. cities - 3 uses.
864. wander - 3 uses.
865. images - 3 uses.
