Most used words by MUNA: 
Number of songs scanned: 37

474. driving - 2 uses.
475. music - 2 uses.
476. play - 2 uses.
477. moment - 2 uses.
478. bout - 2 uses.
479. shrug - 2 uses.
480. asked - 2 uses.
481. recall - 2 uses.
482. scars - 2 uses.
483. occasionally - 2 uses.
484. bleed - 2 uses.
485. staying - 2 uses.
486. alive - 2 uses.
487. carrying - 2 uses.
488. bruises - 2 uses.
489. yellow - 2 uses.
490. black - 2 uses.
491. bruise - 2 uses.
492. tryna - 2 uses.
493. intact - 2 uses.
494. cheap - 2 uses.
495. hop - 2 uses.
496. purple - 2 uses.
497. track - 2 uses.
498. hell - 2 uses.
499. beating - 2 uses.
500. bedroom - 2 uses.
501. words - 2 uses.
502. oh-ooh - 2 uses.
503. gladly - 2 uses.
504. thick - 2 uses.
505.  - 2 uses.
506. provided - 2 uses.
507. fit - 2 uses.
508. mess - 2 uses.
509. under - 2 uses.
510. table - 2 uses.
511. hiding - 2 uses.
512. lovers - 2 uses.
513. allies - 2 uses.
514. red - 2 uses.
515. quarter - 1 use.
516. waited - 1 use.
517. minute - 1 use.
518. talked - 1 use.
519. listened - 1 use.
520. precious - 1 use.
521. person - 1 use.
522. dad - 1 use.
523. touching - 1 use.
524. other - 1 use.
525. women - 1 use.
526. sticking - 1 use.
527. prove - 1 use.
528. worth - 1 use.
529. wishing - 1 use.
530. leavin - 1 use.
531. solo - 1 use.
532. great - 1 use.
533. feeler - 1 use.
534. minor - 1 use.
535. major - 1 use.
536. crisis - 1 use.
537. psychic - 1 use.
538. healer - 1 use.
539. seventeen - 1 use.
540. supposed - 1 use.
541. apart - 1 use.
542. search - 1 use.
543. missing - 1 use.
544. exhibit - 1 use.
545. wasnt - 1 use.
546. sink - 1 use.
547. dishes - 1 use.
548. sign - 1 use.
549. ring - 1 use.
550. movie - 1 use.
551. screen - 1 use.
552. goodnight - 1 use.
553. gold - 1 use.
554. rewired - 1 use.
555. cold - 1 use.
556. drugs - 1 use.
557. work - 1 use.
558. disrespect - 1 use.
559. loneliness - 1 use.
560. peace - 1 use.
561. distress - 1 use.
562. treat - 1 use.
563. reach - 1 use.
564. own - 1 use.
565. conclusions - 1 use.
566. stone - 1 use.
567. clear - 1 use.
568. crystal - 1 use.
569. rainfall - 1 use.
570. note - 1 use.
571. lump - 1 use.
572. throat - 1 use.
573. melody - 1 use.
574. impossible - 1 use.
575. gaze - 1 use.
576. divine - 1 use.
577. consumed - 1 use.
578. exchange - 1 use.
579. death - 1 use.
580. painless - 1 use.
581. worshiping - 1 use.
582. idol - 1 use.
583. bet - 1 use.
584. firefly - 1 use.
585. hits - 1 use.
586. sudden - 1 use.
587. happens - 1 use.
588. focus - 1 use.
589. closer - 1 use.
590. power - 1 use.
591. heck - 1 use.
592. suburban - 1 use.
593. lights - 1 use.
594. blink - 1 use.
595. ones - 1 use.
596. lying - 1 use.
597. miss - 1 use.
598. missed - 1 use.
599. curtains - 1 use.
600. windows - 1 use.
601. thunder - 1 use.
602. frame - 1 use.
603. framework - 1 use.
604. few - 1 use.
605. rest - 1 use.
606. meant - 1 use.
607. gallery - 1 use.
608. recap - 1 use.
609. gave - 1 use.
610. someday - 1 use.
611. knowin - 1 use.
612. fingers - 1 use.
613. shouldnt - 1 use.
614. bullshits - 1 use.
615. losing - 1 use.
616. tired - 1 use.
617. arms - 1 use.
618. looked - 1 use.
619. caught - 1 use.
620. mouth - 1 use.
621. wing - 1 use.
622. bird - 1 use.
623. early - 1 use.
624. walking - 1 use.
625. tv - 1 use.
626. casualties - 1 use.
627. four - 1 use.
628. hundred - 1 use.
629. counting - 1 use.
630. question - 1 use.
631. wed - 1 use.
632. revisit - 1 use.
633. marks - 1 use.
634. burning - 1 use.
635. doing - 1 use.
636. eviscerated - 1 use.
637. half-desire - 1 use.
638. wildfire - 1 use.
639. rain - 1 use.
640. spiral - 1 use.
641. attention - 1 use.
642. pathway - 1 use.
643. destruction - 1 use.
644. buried - 1 use.
645. ashes - 1 use.
646. breathing - 1 use.
647. tree - 1 use.
648. grave - 1 use.
649. dug - 1 use.
650. blessed - 1 use.
651. beings - 1 use.
652. rise - 1 use.
653. mourn - 1 use.
654. receive - 1 use.
655. knotted - 1 use.
656. limbs - 1 use.
657. begin - 1 use.
658. breathe - 1 use.
659. growing - 1 use.
660. despite - 1 use.
661. mountains - 1 use.
662. brakes - 1 use.
663. pacific - 1 use.
664. ocean - 1 use.
665. train - 1 use.
666. shaken - 1 use.
667. somehow - 1 use.
668. weakest - 1 use.
669. blank - 1 use.
670. silence - 1 use.
671. bruised - 1 use.
672. fuck - 1 use.
673. mean - 1 use.
674. hearted - 1 use.
675. girls - 1 use.
676. loves - 1 use.
677. themselves - 1 use.
678. else - 1 use.
679. forgotten - 1 use.
680. human - 1 use.
681. energy - 1 use.
682. greater - 1 use.
683. syne-synergy - 1 use.
684. shown - 1 use.
685. reflect - 1 use.
686. moving - 1 use.
687. minds - 1 use.
688. unison - 1 use.
689. count - 1 use.
690. 23rd - 1 use.
691. fig - 1 use.
692. lowest - 1 use.
693. low - 1 use.
694. comfortable - 1 use.
695. pavement - 1 use.
696. later - 1 use.
697. whisper - 1 use.
698. loved - 1 use.
699. indifferent - 1 use.
700. started - 1 use.
701. medicine - 1 use.
702. dreaming - 1 use.
703. living - 1 use.
704. retracing - 1 use.
705. storyline - 1 use.
706. belief - 1 use.
707. sees - 1 use.
708. slow - 1 use.
709. faster - 1 use.
710. during - 1 use.
711. sunrise - 1 use.
712. fight - 1 use.
713. connected - 1 use.
714. lonely - 1 use.
715. yes - 1 use.
716. choice - 1 use.
717. noise - 1 use.
718. clouding - 1 use.
719. judgement - 1 use.
720. crossed - 1 use.
721. vision - 1 use.
722. suddenly - 1 use.
723. ashamed - 1 use.
724. current - 1 use.
725. morality - 1 use.
726. york - 1 use.
727. experiment - 1 use.
728. communism - 1 use.
729. reading - 1 use.
730. frantz - 1 use.
731. fanon - 1 use.
732. suicide - 1 use.
733. cut - 1 use.
734. dull - 1 use.
735. scissors - 1 use.
736. desk - 1 use.
737. dorm - 1 use.
738. room - 1 use.
739. trial - 1 use.
740. error - 1 use.
