Most used words by Nirvana: 
Number of songs scanned: 131

557. until - 4 uses.
558. top - 4 uses.
559. stop - 4 uses.
560. dirt - 4 uses.
561. sold - 4 uses.
562. dad - 4 uses.
563. sight - 4 uses.
564. hide - 4 uses.
565. watching - 4 uses.
566. biting - 4 uses.
567. crime - 4 uses.
568. doesnt - 4 uses.
569. fans - 4 uses.
570. kids - 4 uses.
571. anyways - 4 uses.
572. slow - 4 uses.
573. mile - 4 uses.
574. language - 4 uses.
575. doll - 4 uses.
576. chance - 4 uses.
577. distill - 4 uses.
578. poison - 4 uses.
579. run - 4 uses.
580. thee - 4 uses.
581. song - 4 uses.
582. spread - 4 uses.
583. bring - 4 uses.
584. blows - 4 uses.
585. thing - 4 uses.
586. grandpa - 4 uses.
587. toe - 4 uses.
588. asleep - 4 uses.
589. neither - 4 uses.
590. sacred - 4 uses.
591. hole - 4 uses.
592. box - 4 uses.
593. trap - 4 uses.
594. angel - 4 uses.
595. broken - 4 uses.
596. yellow - 4 uses.
597. apologies - 4 uses.
598. guilt - 4 uses.
599. heaven - 4 uses.
600. everything - 4 uses.
601. hot - 4 uses.
602. rock - 4 uses.
603. flies - 4 uses.
604. turds - 4 uses.
605. blew - 4 uses.
606. chair - 4 uses.
607. beware - 4 uses.
608. underneath - 4 uses.
609. bridge - 4 uses.
610. tarp - 4 uses.
611. sprung - 4 uses.
612. leak - 4 uses.
613. animals - 4 uses.
614. trapped - 4 uses.
615. pets - 4 uses.
616. ceiling - 4 uses.
617. fish - 4 uses.
618. feelings - 4 uses.
619. step - 4 uses.
620. totally - 4 uses.
621. solo - 4 uses.
622. dark - 4 uses.
623. wall - 4 uses.
624. money - 4 uses.
625. lake - 4 uses.
626. office - 4 uses.
627. cramps - 4 uses.
628. hills - 4 uses.
629. whooped - 4 uses.
630. angels - 4 uses.
631. bright - 4 uses.
632. plywood - 4 uses.
633. faces - 4 uses.
634. guess - 4 uses.
635. mayday - 4 uses.
636. sorry - 4 uses.
