Most used words by  Microwave: 
Number of songs scanned: 41

503. tarred - 2 uses.
504. lungs - 2 uses.
505. devils - 2 uses.
506. break - 2 uses.
507. colors - 2 uses.
508. grey - 2 uses.
509. heroes - 2 uses.
510. destroy - 2 uses.
511. unsafe - 2 uses.
512. write - 2 uses.
513. built - 2 uses.
514. hour - 2 uses.
515. note - 2 uses.
516. oughta - 2 uses.
517. keys - 2 uses.
518. weird - 2 uses.
519. gets - 2 uses.
520. line - 2 uses.
521. backwards - 2 uses.
522. murder - 2 uses.
523. lucid - 2 uses.
524. plan - 2 uses.
525. someday - 2 uses.
526. niche - 2 uses.
527. dust - 2 uses.
528. famous - 2 uses.
529. writer - 2 uses.
530. slept - 2 uses.
531. option - 2 uses.
532. whole - 2 uses.
533. tenderly - 2 uses.
534. leads - 2 uses.
535. case - 2 uses.
536. drowning - 2 uses.
537. windows - 2 uses.
538. entire - 2 uses.
539. grinding - 2 uses.
540. crumbs - 2 uses.
541. asleep - 2 uses.
542. blanket - 2 uses.
543. buried - 2 uses.
544. future - 2 uses.
545. fears - 2 uses.
546. paid - 2 uses.
547. blocks - 2 uses.
548. streets - 2 uses.
549. missing - 2 uses.
550. sure - 2 uses.
551. equally - 2 uses.
552. sing - 2 uses.
553. ripping - 2 uses.
554. seams - 2 uses.
555. apart - 2 uses.
556. skip - 2 uses.
557. blind - 2 uses.
558. beginning - 2 uses.
559. sauce - 2 uses.
560. turn - 2 uses.
561. anybody - 2 uses.
562. mirror - 2 uses.
563. state - 2 uses.
564. practicing - 2 uses.
565. lines - 2 uses.
566. return - 2 uses.
567. falling - 2 uses.
568. jesus - 2 uses.
569. school - 2 uses.
570. drink - 2 uses.
571. kids - 2 uses.
572. sky - 2 uses.
573. fell - 2 uses.
574. father - 2 uses.
575. shut - 2 uses.
576. sun - 2 uses.
577. put - 2 uses.
578. heres - 2 uses.
579. sprayed - 2 uses.
580. shoe - 2 uses.
581. hanger - 2 uses.
582. pacing - 2 uses.
583. driveway - 2 uses.
584. nemesis - 2 uses.
585. fun - 2 uses.
586. soggy - 2 uses.
587. buns - 2 uses.
588. spilling - 2 uses.
589. trunk - 2 uses.
590. dry - 2 uses.
591. tonight - 2 uses.
592. corkboard - 2 uses.
593. full - 2 uses.
594. quotes - 2 uses.
595. follow - 2 uses.
596. stored - 2 uses.
597. purple - 2 uses.
598. post-it - 2 uses.
599. notes - 2 uses.
600. hollow - 2 uses.
601. striking - 1 uses.
602. poses - 1 uses.
603. candid - 1 uses.
604. throwbacks - 1 uses.
605. clout-face - 1 uses.
606. love-hungry - 1 uses.
607. grins - 1 uses.
608. dirty - 1 uses.
609. laundry - 1 uses.
