Most used words by  Cleopatrick: 
Number of songs scanned: 20

357. trynna - 2 uses.
358. college - 2 uses.
359. guts - 2 uses.
360. stuck - 2 uses.
361. bro - 2 uses.
362. worth - 2 uses.
363. heard - 2 uses.
364. rock - 2 uses.
365. play - 2 uses.
366. takes - 2 uses.
367. sauce - 2 uses.
368. loss - 2 uses.
369. boss - 2 uses.
370. shelf - 2 uses.
371. toss - 2 uses.
372. big - 2 uses.
373. wanted - 2 uses.
374. pain - 2 uses.
375. apart - 2 uses.
376. luck - 2 uses.
377. odds - 2 uses.
378. city - 2 uses.
379. gods - 2 uses.
380. harm - 2 uses.
381. pretty - 2 uses.
382. whole - 2 uses.
383. ten - 2 uses.
384. speaking - 2 uses.
385. trust - 2 uses.
386. working - 2 uses.
387. froze - 2 uses.
388. fully - 2 uses.
389. next - 2 uses.
390. guy - 2 uses.
391. wayside - 2 uses.
392. anyones - 2 uses.
393. ones - 2 uses.
394. fairweather - 2 uses.
395. accordingly - 2 uses.
396. downtown - 2 uses.
397. lakes - 2 uses.
398. fucks - 2 uses.
399. begging - 2 uses.
400. thorn - 2 uses.
401. much - 2 uses.
402. tendency - 2 uses.
403. quickly - 2 uses.
404. finger - 2 uses.
405. text - 2 uses.
406. dime - 2 uses.
407. drive - 2 uses.
408. alive - 2 uses.
409. taste - 2 uses.
410. clear - 2 uses.
411. hook - 2 uses.
412. ears - 2 uses.
413. outgrown - 2 uses.
414. somewhere - 2 uses.
415. ashed - 2 uses.
416. cigarette - 2 uses.
417. flow - 1 uses.
418. nasty - 1 uses.
419. sanjays - 1 uses.
420. faded - 1 uses.
421. spot - 1 uses.
422. between - 1 uses.
423. wilson - 1 uses.
424. adelaide - 1 uses.
425. ooh - 1 uses.
426. woah - 1 uses.
427. friend - 1 uses.
428. ladies - 1 uses.
429. bunny - 1 uses.
430. hi - 1 uses.
431. today - 1 uses.
432. thank - 1 uses.
433. comparison - 1 uses.
434. peasant - 1 uses.
435. stepped - 1 uses.
436. slashed - 1 uses.
