Most used words by Watsky: 
Number of songs scanned: 117

386. bite - 12 uses.
387. giving - 12 uses.
388. across - 12 uses.
389. sound - 12 uses.
390. lose - 12 uses.
391. bout - 12 uses.
392. moving - 12 uses.
393. taste - 12 uses.
394. dumb - 12 uses.
395. town - 12 uses.
396. truth - 12 uses.
397. act - 12 uses.
398. wanted - 12 uses.
399. bottom - 12 uses.
400. pumped - 12 uses.
401. funny - 12 uses.
402. dick - 12 uses.
403. 86 - 12 uses.
404. class - 12 uses.
405. kicks - 12 uses.
406. normal - 12 uses.
407. ayy - 12 uses.
408. veneficia - 12 uses.
409. wrong - 11 uses.
410. somebody - 11 uses.
411. deep - 11 uses.
412. san - 11 uses.
413. arm - 11 uses.
414. called - 11 uses.
415. playing - 11 uses.
416. heaven - 11 uses.
417. blood - 11 uses.
418. raised - 11 uses.
419. holy - 11 uses.
420. bullet - 11 uses.
421. window - 11 uses.
422. rich - 11 uses.
423. children - 11 uses.
424. says - 11 uses.
425. less - 11 uses.
426. power - 11 uses.
427. music - 11 uses.
428. fine - 11 uses.
429. hour - 11 uses.
430. fell - 11 uses.
431. downs - 11 uses.
432. feet - 11 uses.
433. kick - 11 uses.
434. mic - 11 uses.
435. ahead - 11 uses.
436. fit - 11 uses.
437. everywhere - 11 uses.
438. murder - 11 uses.
439. young - 11 uses.
440. tie-dye - 11 uses.
441. lips - 11 uses.
442. kiss - 11 uses.
443. blah - 11 uses.
444. heads - 10 uses.
445. neck - 10 uses.
446. mom - 10 uses.
447. rest - 10 uses.
448. float - 10 uses.
449. goes - 10 uses.
450. air - 10 uses.
451. born - 10 uses.
452. year - 10 uses.
453. stare - 10 uses.
454. soul - 10 uses.
455. later - 10 uses.
456. tears - 10 uses.
457. future - 10 uses.
458. smoke - 10 uses.
459. ceiling - 10 uses.
460. kitchen - 10 uses.
461. dads - 10 uses.
462. paint - 10 uses.
463. knees - 10 uses.
464. stand - 10 uses.
465. turned - 10 uses.
466. crowd - 10 uses.
467. known - 10 uses.
468. bieber - 10 uses.
469. loud - 10 uses.
470. front - 10 uses.
471. learn - 10 uses.
472. stuck - 10 uses.
473. caught - 10 uses.
474. tend - 10 uses.
475. hella - 10 uses.
476. limo - 10 uses.
477. emos - 10 uses.
478. deserve - 10 uses.
479. feels - 10 uses.
480. george - 10 uses.
481. rip - 10 uses.
482. far - 10 uses.
483. clap - 10 uses.
484. makes - 10 uses.
485. burn - 10 uses.
486. fucked - 10 uses.
487. hello - 10 uses.
488. sad - 10 uses.
489. street - 10 uses.
490. grass - 10 uses.
491. sloppy - 10 uses.
492. seconds - 10 uses.
493. clear - 10 uses.
494. sight - 10 uses.
495. step - 10 uses.
496. foot - 10 uses.
497. amplified - 10 uses.
498. excuse - 10 uses.
499. fly - 9 uses.
500. either - 9 uses.
501. knife - 9 uses.
502. strange - 9 uses.
503. change - 9 uses.
504. hate - 9 uses.
505. weve - 9 uses.
506. afraid - 9 uses.
507. poet - 9 uses.
508. low - 9 uses.
509. passion - 9 uses.
510. dance - 9 uses.
511. chance - 9 uses.
512. ball - 9 uses.
513. okay - 9 uses.
514. mad - 9 uses.
515. means - 9 uses.
516. bear - 9 uses.
517. throw - 9 uses.
518. seeking - 9 uses.
519. brother - 9 uses.
520. faster - 9 uses.
521. jump - 9 uses.
522. near - 9 uses.
523. slow - 9 uses.
524. land - 9 uses.
525. key - 9 uses.
526. rose - 9 uses.
527. yo - 9 uses.
528. grade - 9 uses.
529. stupid - 9 uses.
530. dog - 9 uses.
531. hurt - 9 uses.
532. rap - 9 uses.
533. cash - 9 uses.
534. read - 9 uses.
535. road - 9 uses.
536. brought - 9 uses.
537. mine - 9 uses.
538. sipping - 9 uses.
539. words - 9 uses.
540. phone - 9 uses.
541. billion - 9 uses.
542. meet - 9 uses.
543. early - 9 uses.
544. fu-fu-fu-fu-fuck - 9 uses.
545. park - 9 uses.
546. fact - 9 uses.
547. answer - 9 uses.
548. honeys - 9 uses.
549. huh - 9 uses.
550. gold - 9 uses.
551. sometimes - 9 uses.
552. blow - 9 uses.
553. build - 9 uses.
554. voice - 9 uses.
555. dammit - 9 uses.
556. lines - 9 uses.
557. middle - 9 uses.
558. clean - 9 uses.
559. pizza - 9 uses.
560. asshole - 9 uses.
561. deeper - 9 uses.
562. rhymes - 9 uses.
563. ha - 9 uses.
564. ends - 8 uses.
565. ‘em - 8 uses.
566. loving - 8 uses.
567. needed - 8 uses.
568. sleeping - 8 uses.
569. uh - 8 uses.
570. tight - 8 uses.
571. smile - 8 uses.
572. scared - 8 uses.
573. suck - 8 uses.
574. walking - 8 uses.
575. favorite - 8 uses.
576. tried - 8 uses.
577. although - 8 uses.
578. anywhere - 8 uses.
579. hop - 8 uses.
580. curb - 8 uses.
581. reason - 8 uses.
582. glass - 8 uses.
