Most used words by dodie: 
Number of songs scanned: 104

368. soulmates - 6 uses.
369. fucked - 6 uses.
370. such - 6 uses.
371. hiding - 6 uses.
372. month - 6 uses.
373. fight - 6 uses.
374. screaming - 6 uses.
375. list - 6 uses.
376. thoughts - 6 uses.
377. road - 6 uses.
378. boyfriend - 6 uses.
379. supposed - 6 uses.
380. inbetween - 6 uses.
381. family - 6 uses.
382. lights - 6 uses.
383. doing - 6 uses.
384. youtube - 6 uses.
385. chocolates - 6 uses.
386. steam - 6 uses.
387. secrets - 5 uses.
388. sit - 5 uses.
389. seem - 5 uses.
390. fair - 5 uses.
391. looked - 5 uses.
392. breath - 5 uses.
393. sigh - 5 uses.
394. train - 5 uses.
395. hug - 5 uses.
396. belonging - 5 uses.
397. shell - 5 uses.
398. minds - 5 uses.
399. town - 5 uses.
400. rather - 5 uses.
401. making - 5 uses.
402. those - 5 uses.
403. swear - 5 uses.
404. taxi - 5 uses.
405. lines - 5 uses.
406. welcome - 5 uses.
407. ice - 5 uses.
408. round - 5 uses.
409. afternoon - 5 uses.
410. raw - 5 uses.
411. bite - 5 uses.
412. tea - 5 uses.
413. count - 5 uses.
414. morning - 5 uses.
415. blue - 5 uses.
416. date - 5 uses.
417. shannon - 5 uses.
418. yours - 5 uses.
419. rise - 5 uses.
420. miles - 5 uses.
421. promised - 5 uses.
422. happened - 5 uses.
423. fucking - 5 uses.
424. under - 5 uses.
425. problem - 5 uses.
426. toys - 5 uses.
427. closed - 5 uses.
428. heads - 5 uses.
429. winter - 5 uses.
430. walls - 5 uses.
431. crack - 5 uses.
432. young - 5 uses.
433. lose - 5 uses.
434. bruised - 5 uses.
435. tattoos - 5 uses.
436. sin - 5 uses.
437. answer - 5 uses.
438. strange - 5 uses.
439. lightning - 5 uses.
440. forever - 5 uses.
441. phone - 5 uses.
442. less - 5 uses.
443. front - 5 uses.
444. dead - 5 uses.
445. twenty - 5 uses.
446. green - 5 uses.
447. reason - 5 uses.
448. loving - 5 uses.
449. born - 5 uses.
450. change - 5 uses.
451. slow - 5 uses.
452. small - 5 uses.
453. held - 5 uses.
454. tight - 5 uses.
455. hot - 5 uses.
456. took - 4 uses.
457. shared - 4 uses.
458. thousands - 4 uses.
459. fake - 4 uses.
460. smell - 4 uses.
461. cannot - 4 uses.
462. rainbow - 4 uses.
463. step - 4 uses.
464. thanks - 4 uses.
465. alright - 4 uses.
466. came - 4 uses.
467. eye - 4 uses.
468. jumper - 4 uses.
469. permanent - 4 uses.
470. run - 4 uses.
471. shoes - 4 uses.
472. living - 4 uses.
473. glasses - 4 uses.
474. plans - 4 uses.
475. above - 4 uses.
476. hearts - 4 uses.
477. holding - 4 uses.
478. grab - 4 uses.
479. missing - 4 uses.
480. woke - 4 uses.
481. figure - 4 uses.
482. figured - 4 uses.
483. outside - 4 uses.
484. empty - 4 uses.
485. lonely - 4 uses.
486. running - 4 uses.
487. intact - 4 uses.
488. nod - 4 uses.
489. higher - 4 uses.
490. reckon - 4 uses.
491. high - 4 uses.
492. precious - 4 uses.
493. paid - 4 uses.
494. broke - 4 uses.
495. boy - 4 uses.
496. pens - 4 uses.
497. definitely - 4 uses.
498. save - 4 uses.
499. grew - 4 uses.
500. blood - 4 uses.
501. nicely - 4 uses.
502. times - 4 uses.
503. lumps - 4 uses.
504. bumps - 4 uses.
505. scratch - 4 uses.
506. move - 4 uses.
507. fear - 4 uses.
508. anyway - 4 uses.
509. taken - 4 uses.
510. smitten - 4 uses.
511. big - 4 uses.
512. sky - 4 uses.
513. moon - 4 uses.
514. read - 4 uses.
515. space - 4 uses.
516. across - 4 uses.
517. fault - 4 uses.
518. between - 4 uses.
519. hole - 4 uses.
520. tooth - 4 uses.
521. luck - 4 uses.
522. looks - 4 uses.
523. side - 4 uses.
524. swore - 4 uses.
525. lovers - 4 uses.
526. rollin - 4 uses.
527. backs - 4 uses.
528. surely - 4 uses.
529. saying - 4 uses.
530. after - 4 uses.
531. bunch - 4 uses.
