Most used words by Underoath: 
Number of songs scanned: 96

379. reach - 5 uses.
380. tight - 5 uses.
381. anything - 5 uses.
382. walked - 5 uses.
383. saved - 5 uses.
384. mine - 5 uses.
385. escape - 5 uses.
386. below - 5 uses.
387. else - 5 uses.
388. unless - 5 uses.
389. though - 5 uses.
390. fill - 5 uses.
391. listen - 5 uses.
392. choice - 5 uses.
393. kill - 5 uses.
394. flames - 5 uses.
395. skin - 5 uses.
396. yesterday - 5 uses.
397. silence - 5 uses.
398. tears - 5 uses.
399. glass - 5 uses.
400. friend - 5 uses.
401. none - 5 uses.
402. father - 5 uses.
403. fight - 5 uses.
404. giving - 5 uses.
405. control - 5 uses.
406. motion - 5 uses.
407. key - 5 uses.
408. talking - 5 uses.
409. ears - 5 uses.
410. begins - 5 uses.
411. comes - 5 uses.
412. bed - 5 uses.
413. cycle - 5 uses.
414. little - 5 uses.
415. steps - 5 uses.
416. reaching - 5 uses.
417. rope - 5 uses.
418. teach - 5 uses.
419. road - 5 uses.
420. front - 5 uses.
421. somebody - 5 uses.
422. surrounded - 5 uses.
423. til - 5 uses.
424. daylight - 5 uses.
425. machines - 5 uses.
426. revolt - 5 uses.
427. straight - 5 uses.
428. fucking - 5 uses.
429. и - 5 uses.
430. eye - 4 uses.
431. planned - 4 uses.
432. evil - 4 uses.
433. sinking - 4 uses.
434. thin - 4 uses.
435. learn - 4 uses.
436. ask - 4 uses.
437. voice - 4 uses.
438. path - 4 uses.
439. closer - 4 uses.
440. explain - 4 uses.
441. easier - 4 uses.
442. single - 4 uses.
443. conversation - 4 uses.
444. carry - 4 uses.
445. least - 4 uses.
446. looked - 4 uses.
447. able - 4 uses.
448. ice - 4 uses.
449. grave - 4 uses.
450. memories - 4 uses.
451. play - 4 uses.
452. follow - 4 uses.
453. swim - 4 uses.
454. deeper - 4 uses.
455. goodbye - 4 uses.
456. asked - 4 uses.
457. praying - 4 uses.
458. changing - 4 uses.
459. figure - 4 uses.
460. stood - 4 uses.
461. swallows - 4 uses.
462. knowing - 4 uses.
463. towards - 4 uses.
464. perfect - 4 uses.
465. person - 4 uses.
466. trying - 4 uses.
467. missed - 4 uses.
468. destroyed - 4 uses.
469. destroy - 4 uses.
470. innocent - 4 uses.
471. round - 4 uses.
472. warm - 4 uses.
473. tangled - 4 uses.
474. lead - 4 uses.
475. embrace - 4 uses.
476. crawling - 4 uses.
477. read - 4 uses.
478.  - 4 uses.
479. sky - 4 uses.
480. ends - 4 uses.
481. loneliness - 4 uses.
482. smile - 4 uses.
483. begin - 4 uses.
484. youth - 4 uses.
485. held - 4 uses.
486. hole - 4 uses.
487. worn - 4 uses.
488. picture - 4 uses.
489. terribly - 4 uses.
490. calm - 4 uses.
491. takes - 4 uses.
492. veins - 4 uses.
493. full - 4 uses.
494. seen - 4 uses.
495. grew - 4 uses.
496. endless - 4 uses.
497. circles - 4 uses.
498. waiting - 4 uses.
499. keeps - 4 uses.
500. making - 4 uses.
501. shine - 4 uses.
502. suffer - 4 uses.
503. direction - 4 uses.
504. blur - 4 uses.
505. holds - 4 uses.
506. waving - 4 uses.
507. mean - 4 uses.
508. hide - 4 uses.
509. worst - 4 uses.
510. fuck - 4 uses.
511. cover - 4 uses.
512. user - 4 uses.
513. covered - 4 uses.
514. deserve - 4 uses.
515. uproot - 4 uses.
516. either - 4 uses.
517. reset - 4 uses.
518. rewind - 4 uses.
519. frame - 4 uses.
520. spinning - 4 uses.
521. cannot - 4 uses.
522. saving - 4 uses.
523. whatever - 4 uses.
524. dragging - 4 uses.
525. guð - 4 uses.
526. og - 4 uses.
