Most used words by Pinegrove: 
Number of songs scanned: 49

458. city - 2 uses.
459. somebody - 2 uses.
460. loosen - 2 uses.
461. subject - 2 uses.
462. blindly - 2 uses.
463. led - 2 uses.
464. feet - 2 uses.
465. lie - 2 uses.
466. altogether - 2 uses.
467. squirming - 2 uses.
468. buy - 2 uses.
469. breakfast - 2 uses.
470. running - 2 uses.
471. problem - 2 uses.
472. opening - 2 uses.
473. picking - 2 uses.
474. seeds - 2 uses.
475. peeling - 2 uses.
476. pulling - 1 use.
477. itchy - 1 use.
478. couch - 1 use.
479. pull - 1 use.
480. couldnt - 1 use.
481. tarpaulin - 1 use.
482. plans - 1 use.
483. either/or - 1 use.
484. stigmata - 1 use.
485. evident - 1 use.
486. clattering - 1 use.
487. mimetic - 1 use.
488. sympathetic - 1 use.
489. tremor - 1 use.
490. tessela - 1 use.
491. signs - 1 use.
492. close - 1 use.
493. fractal - 1 use.
494. inner - 1 use.
495. varicose - 1 use.
496. resign - 1 use.
497. coiled - 1 use.
498. portal - 1 use.
499. hows - 1 use.
500. cloth - 1 use.
501. turpentine - 1 use.
502. habits - 1 use.
503. lovely - 1 use.
504. shapes - 1 use.
505. communicate - 1 use.
506. armageddon - 1 use.
507. weight - 1 use.
508. ya - 1 use.
509. necklace - 1 use.
510. fell - 1 use.
511. fluttered - 1 use.
512. capillaries - 1 use.
513. moth - 1 use.
514. ladybug - 1 use.
515. trapped - 1 use.
516. toes - 1 use.
517. connected - 1 use.
518. stay - 1 use.
519. composed - 1 use.
520. current - 1 use.
521. picture - 1 use.
522. metronome - 1 use.
523. falling - 1 use.
524. werent - 1 use.
525. hiding - 1 use.
526. exactly - 1 use.
527. used - 1 use.
528. somehow - 1 use.
529. loose - 1 use.
530. complicated - 1 use.
531. explaining - 1 use.
532. listening - 1 use.
533. distended - 1 use.
534. hidden - 1 use.
535. silent - 1 use.
536. hesitant - 1 use.
537. oblivion - 1 use.
538. came - 1 use.
539. sent - 1 use.
540. unfurling - 1 use.
541. street - 1 use.
542. unprecedented - 1 use.
543. speaking - 1 use.
544. thingsll - 1 use.
545. newly - 1 use.
546. delivered - 1 use.
547. pride - 1 use.
548. takes - 1 use.
549. pace - 1 use.
550. unfelt - 1 use.
551. sorted - 1 use.
552. apparently - 1 use.
553. ventricles - 1 use.
554. freak - 1 use.
555. underground - 1 use.
556. reaches - 1 use.
557. plus - 1 use.
558. remind - 1 use.
559. define - 1 use.
560. seize - 1 use.
561. seizing - 1 use.
562. slow - 1 use.
563. warned - 1 use.
564. torches - 1 use.
565. paths - 1 use.
566. rustling - 1 use.
567. tessellate - 1 use.
568. answers - 1 use.
569. lucile - 1 use.
570. rescind - 1 use.
571. question - 1 use.
572. frame - 1 use.
573. particulate - 1 use.
574. gray - 1 use.
575. perpendicular - 1 use.
576. lean - 1 use.
577. finding - 1 use.
578. roaches - 1 use.
579. pot - 1 use.
580. itd - 1 use.
581. bitter - 1 use.
582. honestly - 1 use.
583. untangle - 1 use.
584. intrepid - 1 use.
585. winter - 1 use.
586. noise - 1 use.
587. real - 1 use.
588. belief - 1 use.
589. reason - 1 use.
590. re-listening - 1 use.
591. message - 1 use.
592. broke - 1 use.
593. signal - 1 use.
594. type - 1 use.
595. curl - 1 use.
596. inwards - 1 use.
597. forgiveness - 1 use.
598. bend - 1 use.
599. learned - 1 use.
600. lifted - 1 use.
601. seeing - 1 use.
602. restless - 1 use.
603. eyelid - 1 use.
604. tip - 1 use.
605. lash - 1 use.
606. lip - 1 use.
607. letter - 1 use.
608. lap - 1 use.
609. confusing - 1 use.
610. reduced - 1 use.
611. estranged - 1 use.
612. illusion - 1 use.
613. consumed - 1 use.
614. pick - 1 use.
615. carve - 1 use.
616. path - 1 use.
617. moonlit - 1 use.
618. adorned - 1 use.
619. ritual - 1 use.
620. adored - 1 use.
621. nowadays - 1 use.
622. usually - 1 use.
623. sweater - 1 use.
624. wear - 1 use.
625. library - 1 use.
626. spine - 1 use.
627. books - 1 use.
628. resolution - 1 use.
629. everywhere - 1 use.
630. bramble - 1 use.
631. scratching - 1 use.
632. shining - 1 use.
633. sworn - 1 use.
634. phase - 1 use.
635. strange - 1 use.
636. stars - 1 use.
637. fake - 1 use.
638. hues - 1 use.
639. muted - 1 use.
640. losing - 1 use.
641. brightest - 1 use.
642. worth - 1 use.
643. sayin - 1 use.
644. aloud - 1 use.
645. drew - 1 use.
646. waveform - 1 use.
647. remorse - 1 use.
648. courses - 1 use.
649. course - 1 use.
650. board - 1 use.
651. shutting - 1 use.
652. avocado - 1 use.
653. thumb - 1 use.
654. coursing - 1 use.
655. fire - 1 use.
656. escape - 1 use.
657. late - 1 use.
658. arent - 1 use.
659. tired - 1 use.
660. couple - 1 use.
661. warm - 1 use.
662. thanksgiving - 1 use.
663. beholden - 1 use.
664. hope - 1 use.
665. whoever - 1 use.
666. waiting - 1 use.
667. mourning - 1 use.
668. lying - 1 use.
669. hair - 1 use.
670. spiral - 1 use.
671. gleaming - 1 use.
672. green - 1 use.
673. door - 1 use.
674. please - 1 use.
675. careful - 1 use.
676. whisper - 1 use.
677. half - 1 use.
678. echo - 1 use.
679. garden - 1 use.
680. garbage - 1 use.
681. alarmist - 1 use.
682. terrible - 1 use.
683. territory - 1 use.
684. reassure - 1 use.
685. sanity - 1 use.
686. exist - 1 use.
687. knowing - 1 use.
688. hurts - 1 use.
689. rely - 1 use.
690. first - 1 use.
691. happening - 1 use.
692. whys - 1 use.
693. taking - 1 use.
694. cross - 1 use.
695. border - 1 use.
696. jersey - 1 use.
697. antenna - 1 use.
698. polar - 1 use.
699. vortex - 1 use.
700. eclipse - 1 use.
701. atlanta - 1 use.
702. absence - 1 use.
703. desert - 1 use.
704. lift - 1 use.
705. beyond - 1 use.
706. thread - 1 use.
707. manhattan - 1 use.
708. horizon - 1 use.
709. behave - 1 use.
710. actually - 1 use.
711. pillow - 1 use.
712. telling - 1 use.
713. letting - 1 use.
714. trust - 1 use.
715. blinking - 1 use.
716. tungsten - 1 use.
717. wings - 1 use.
718. metaphor - 1 use.
719. forming - 1 use.
720. skin - 1 use.
721. pinning - 1 use.
722. inchoate - 1 use.
723. meaning - 1 use.
724. below - 1 use.
725. perforate - 1 use.
726. dry - 1 use.
727. land - 1 use.
728. circulates - 1 use.
729. double - 1 use.
730. needle - 1 use.
731. phonographic - 1 use.
732. digging - 1 use.
733. simplest - 1 use.
734. labyrinthine - 1 use.
735. cracks - 1 use.
736. trees - 1 use.
737. grounded - 1 use.
738. landed - 1 use.
739. dogwood - 1 use.
740. iterate - 1 use.
741. shame - 1 use.
742. lately - 1 use.
743. shades - 1 use.
744. needles - 1 use.
745. outlines - 1 use.
746. boyfriend - 1 use.
747. port - 1 use.
748. authority - 1 use.
749. sort - 1 use.
750. averted - 1 use.
751. huh - 1 use.
752. mellow - 1 use.
753. big - 1 use.
754. upset - 1 use.
755. ground - 1 use.
756. appointment - 1 use.
757. disappointment - 1 use.
