Most used words by  PUP: 
Number of songs scanned: 46

446. tear - 2 uses.
447. street - 2 uses.
448. bus - 2 uses.
449. ten - 2 uses.
450. weed - 2 uses.
451. attic - 2 uses.
452. stood - 2 uses.
453. flames - 2 uses.
454. yard - 2 uses.
455. carpet - 2 uses.
456. waking - 2 uses.
457. different - 2 uses.
458. week - 2 uses.
459. medicine - 2 uses.
460. savings - 2 uses.
461. loans - 2 uses.
462. save - 2 uses.
463. hadnt - 2 uses.
464. fade - 2 uses.
465. voice - 2 uses.
466. totally - 2 uses.
467. scabs - 2 uses.
468. mind - 2 uses.
469. write - 2 uses.
470. cul-de-sac - 2 uses.
471. sheets - 2 uses.
472. broken - 2 uses.
473. sky - 2 uses.
474. gives - 2 uses.
475. give - 2 uses.
476. soul - 2 uses.
477. sixteen - 2 uses.
478. god - 2 uses.
479. dreaming - 2 uses.
480. grew - 2 uses.
481. recall - 2 uses.
482. places - 2 uses.
483. thatll - 2 uses.
484. past - 2 uses.
485. weeks - 2 uses.
486. food - 2 uses.
487. saw - 2 uses.
488. any - 2 uses.
489. earth - 2 uses.
490. lonely - 2 uses.
491. called - 2 uses.
492. wake - 2 uses.
493. snow - 2 uses.
494. wind - 2 uses.
495. signal - 2 uses.
496. lifetime - 2 uses.
497. floodgates - 2 uses.
498. opened - 2 uses.
499. ambition - 2 uses.
500. fingers - 2 uses.
501. whenever - 2 uses.
502. laugh - 2 uses.
503. explain - 2 uses.
504. understand - 2 uses.
505. intentions - 2 uses.
506. hide - 2 uses.
507. except - 2 uses.
508. self - 2 uses.
509. destruction - 2 uses.
510. thing - 2 uses.
511. half - 2 uses.
512. break - 2 uses.
513. lionblood - 2 uses.
514. flowin - 2 uses.
515. veins - 2 uses.
516. done - 2 uses.
517. don - 2 uses.
518. dirty - 2 uses.
519. dawn - 2 uses.
520. hang - 2 uses.
521. gallows - 2 uses.
522. drops - 2 uses.
523. shoes - 2 uses.
524. gave - 2 uses.
525. bet - 2 uses.
526. friend - 2 uses.
527. hand - 2 uses.
528. shake - 2 uses.
529. cadillac - 2 uses.
530. aye-aye - 2 uses.
531. slow - 2 uses.
532. moves - 2 uses.
533. golden - 2 uses.
534. tracks - 2 uses.
535. compass - 2 uses.
536. prospectors - 2 uses.
537. gold - 2 uses.
538. ghost - 2 uses.
539. slave - 2 uses.
540. clock - 2 uses.
541. erasing - 2 uses.
542. trace - 2 uses.
543. coat - 2 uses.
544. paint - 2 uses.
545. locks - 2 uses.
546. bitter - 2 uses.
547. void - 2 uses.
548. crank - 2 uses.
549. noise - 2 uses.
550. books - 2 uses.
551. already - 2 uses.
552. read - 2 uses.
553. nervous - 2 uses.
554. 5 - 2 uses.
555. boredom - 2 uses.
556. chance - 2 uses.
557. kids - 2 uses.
558. games - 2 uses.
559. goddamn - 2 uses.
560. sea - 2 uses.
561. tapped - 2 uses.
562. given - 2 uses.
563. demons - 2 uses.
564. state - 2 uses.
565. bursting - 2 uses.
566. across - 2 uses.
567. afternoon - 2 uses.
568. behind - 2 uses.
569. admit - 2 uses.
570. sorry - 2 uses.
571. support - 2 uses.
572. fallin - 2 uses.
573. those - 2 uses.
574. flame - 2 uses.
575. fading - 2 uses.
576. ya - 2 uses.
577. heard - 2 uses.
578. kinda - 2 uses.
579. trick - 2 uses.
580. map - 2 uses.
581. low - 2 uses.
582. drinking - 2 uses.
583. wakin - 2 uses.
584. matters - 2 uses.
585. tearing - 2 uses.
586. waters - 2 uses.
587. knows - 2 uses.
588. parents - 2 uses.
589. pay - 2 uses.
590. cool - 2 uses.
591. bout - 2 uses.
592. steer - 2 uses.
593. frustrating - 2 uses.
594. attitude - 2 uses.
595. deserves - 2 uses.
596. decay - 2 uses.
597. worst - 2 uses.
598. hook - 2 uses.
599. neighborhood - 2 uses.
600. piss - 2 uses.
601. speak - 2 uses.
602. aflame - 2 uses.
603. bloat - 2 uses.
604. both - 2 uses.
605. else - 2 uses.
606. bottom - 2 uses.
607. seems - 2 uses.
608. does - 2 uses.
609. lied - 2 uses.
610. choice - 2 uses.
611. shield - 2 uses.
612. weary - 2 uses.
613. since - 2 uses.
614. blown - 2 uses.
615. meltdown - 2 uses.
616. loser - 2 uses.
617. fetishize - 2 uses.
618. fishing - 2 uses.
619. spring - 2 uses.
620. edmonton - 1 uses.
621. singing - 1 uses.
622. warm - 1 uses.
623. onstage - 1 uses.
624. guilt - 1 uses.
625. piling - 1 uses.
626. rafters - 1 uses.
627. drunkenly - 1 uses.
628. leaned - 1 uses.
629. urinal - 1 uses.
630. birthdays - 1 uses.
631. funerals - 1 uses.
632. father - 1 uses.
633. mid-june - 1 uses.
634. pulled - 1 uses.
635. pump - 1 uses.
636. tire - 1 uses.
637. hi-igh-igh-igh - 1 uses.
638. go-o-o-o - 1 uses.
639. shell - 1 uses.
640. lakes - 1 uses.
641. lagoons - 1 uses.
642. swear - 1 uses.
643. miss - 1 uses.
644. countryside - 1 uses.
645. grandmother - 1 uses.
646. lays - 1 uses.
647. grandfathers - 1 uses.
648. aboard - 1 uses.
649. beautiful - 1 uses.
650. vessel - 1 uses.
651. bower - 1 uses.
652. captains - 1 uses.
653. retired - 1 uses.
654. sip - 1 uses.
655. whiskey - 1 uses.
656. resist - 1 uses.
657. sleepless - 1 uses.
658. unless - 1 uses.
659. loving - 1 uses.
660. weather - 1 uses.
661. storm - 1 uses.
662. path - 1 uses.
663. top - 1 uses.
664. mountain - 1 uses.
665. quarry - 1 uses.
666. touch - 1 uses.
667. lovin - 1 uses.
668. engines - 1 uses.
669. longevity - 1 uses.
670. tryina - 1 uses.
671. pleasure - 1 uses.
672. thrill - 1 uses.
673. total - 1 uses.
674. bore - 1 uses.
675. nightmare - 1 uses.
676. sitting - 1 uses.
677. morbid - 1 uses.
678. stuff - 1 uses.
679. slept - 1 uses.
680. obsessive - 1 uses.
681. st - 1 uses.
682. catharines - 1 uses.
683. rubbing - 1 uses.
684. elbows - 1 uses.
685. art - 1 uses.
686. scene - 1 uses.
687. high-fiving - 1 uses.
688. shithead - 1 uses.
689. queen - 1 uses.
690. passed - 1 uses.
691. ride - 1 uses.
692. quarter - 1 uses.
693. mom - 1 uses.
694. dad - 1 uses.
695. smoking - 1 uses.
696. stays - 1 uses.
697. somebody - 1 uses.
698. elses - 1 uses.
699. ached - 1 uses.
700. bizarre - 1 uses.
701. scrapmetal - 1 uses.
702. wrecking - 1 uses.
703. goodbyes - 1 uses.
704. 25 - 1 uses.
705. everytime - 1 uses.
706. blacking - 1 uses.
707. brought - 1 uses.
708. 6 - 1 uses.
709. moved - 1 uses.
710. known - 1 uses.
711. fix - 1 uses.
712. vacation - 1 uses.
713. normal - 1 uses.
714. lookin - 1 uses.
715. christmas - 1 uses.
716. acted - 1 uses.
717. bought - 1 uses.
718. vet - 1 uses.
719. cashed - 1 uses.
720. late - 1 uses.
721. woah - 1 uses.
722. ok - 1 uses.
723. heat - 1 uses.
724. repeat - 1 uses.
725. happening - 1 uses.
726. yesterday - 1 uses.
727. pitiful - 1 uses.
728. reaper - 1 uses.
729. tall - 1 uses.
730. grass - 1 uses.
731. feeding - 1 uses.
732. fever - 1 uses.
733. figure - 1 uses.
734. dirt - 1 uses.
735. howled - 1 uses.
736. shredded - 1 uses.
737. connecting - 1 uses.
738. figured - 1 uses.
739. rest - 1 uses.
740. easier - 1 uses.
741. quite - 1 uses.
742. nights - 1 uses.
743. apologies - 1 uses.
744. metaphors - 1 uses.
745. tough - 1 uses.
746. remember - 1 uses.
747. summertime - 1 uses.
748. oceanside - 1 uses.
749. wrote - 1 uses.
750. starts - 1 uses.
751. twisted - 1 uses.
752. hearts - 1 uses.
753. early - 1 uses.
