Most used words by Turnover: 
Number of songs scanned: 57

649. shown - 2 uses.
650. hemispheres - 2 uses.
651. smash - 2 uses.
652. paint - 2 uses.
653. drain - 2 uses.
654. stain - 2 uses.
655. burn - 2 uses.
656. rest - 2 uses.
657. lonely - 2 uses.
658. decorations - 2 uses.
659. cover - 2 uses.
660. vibration - 2 uses.
661. mirror - 2 uses.
662. choked - 2 uses.
663. happens - 2 uses.
664. put - 2 uses.
665. son - 2 uses.
666. exception - 2 uses.
667. leaf - 2 uses.
668. sometimes - 2 uses.
669. strain - 2 uses.
670. winter - 2 uses.
671. frost - 2 uses.
672. paradise - 2 uses.
673. tight - 2 uses.
674. slept - 2 uses.
675. late - 2 uses.
676. nobodys - 2 uses.
677. imagination - 2 uses.
678. noon - 2 uses.
679. sit - 2 uses.
680. threw - 2 uses.
681. telling - 1 use.
682. hearing - 1 use.
683. matters - 1 use.
684. cell - 1 use.
685. meaningless - 1 use.
686. swore - 1 use.
687. tossing - 1 use.
688. froze - 1 use.
689. sad - 1 use.
690. itd - 1 use.
691. hey - 1 use.
692. dogs - 1 use.
693. barking - 1 use.
694. climbed - 1 use.
695. steps - 1 use.
696. miles - 1 use.
697. test - 1 use.
698. clouded - 1 use.
699. judgement - 1 use.
700. blocked - 1 use.
701. peripheral - 1 use.
702. vision - 1 use.
703. aware - 1 use.
704. manic - 1 use.
705. depressive - 1 use.
706. condition - 1 use.
707. train - 1 use.
708. hop - 1 use.
709. mess - 1 use.
710. grew - 1 use.
711. native - 1 use.
712. delirium - 1 use.
713. daughter - 1 use.
714. insomnia - 1 use.
715. hypochondria - 1 use.
716. wilt - 1 use.
717. deepest - 1 use.
718. roots - 1 use.
719. graceful - 1 use.
720. poison - 1 use.
721. vile - 1 use.
722. blight - 1 use.
723. reality - 1 use.
724. machine - 1 use.
725. automatic - 1 use.
726. programmed - 1 use.
727. idea - 1 use.
728. motivation - 1 use.
729. pumping - 1 use.
730. throughout - 1 use.
731. veins - 1 use.
732. swim - 1 use.
733. tingling - 1 use.
734. sedative - 1 use.
735. buys - 1 use.
736. handmade - 1 use.
737. ceramic - 1 use.
738. sparkles - 1 use.
739. picture - 1 use.
740. cocktail - 1 use.
741. ignored - 1 use.
742. goosebumps - 1 use.
743. neck - 1 use.
744. sake - 1 use.
745. geometric - 1 use.
746. sorry - 1 use.
747. intention - 1 use.
748. stranger - 1 use.
749. hads - 1 use.
750. view - 1 use.
751. ten - 1 use.
752. month - 1 use.
753. cutting - 1 use.
754. relaxing - 1 use.
755. sunshine - 1 use.
756. type - 1 use.
757. person - 1 use.
758. gotta - 1 use.
759. rules - 1 use.
760. serious - 1 use.
761. rubber - 1 use.
762. ball - 1 use.
763. forth - 1 use.
764. clock - 1 use.
765. trick - 1 use.
766. sleeve - 1 use.
767. controlled - 1 use.
768. confusion - 1 use.
769. grand - 1 use.
770. illusion - 1 use.
771. goes - 1 use.
772. bada - 1 use.
773. hypnotize - 1 use.
774. ballerina - 1 use.
775. twirling - 1 use.
776. round - 1 use.
777. fantastic - 1 use.
778. collapse - 1 use.
779. delight - 1 use.
780. ring - 1 use.
781. collect - 1 use.
782. euphoric - 1 use.
783. comedown - 1 use.
784. followed - 1 use.
785. asked - 1 use.
786. shouts - 1 use.
787. resonate - 1 use.
788. letting - 1 use.
789. screamed - 1 use.
790. echo - 1 use.
791. rustled - 1 use.
792. shirt - 1 use.
793. prefer - 1 use.
794. coffee - 1 use.
795. pardon - 1 use.
796. awhile - 1 use.
797. mistake - 1 use.
798. delicate - 1 use.
799. glimmering - 1 use.
800. porcelain - 1 use.
801. walked - 1 use.
802. sins - 1 use.
803. committed - 1 use.
804. skipped - 1 use.
805. awkward - 1 use.
806. goodbyes - 1 use.
807. convention - 1 use.
808. someday - 1 use.
809. meet - 1 use.
810. circumstances - 1 use.
811. lovers - 1 use.
812. picking - 1 use.
813. fear - 1 use.
814. saved - 1 use.
815. idle - 1 use.
816. dug - 1 use.
817. grave - 1 use.
818. disintegrating - 1 use.
819. car - 1 use.
820. louisiana - 1 use.
821. hated - 1 use.
822. finds - 1 use.
823. numbered - 1 use.
824. fewer - 1 use.
825. lessons - 1 use.
826. demons - 1 use.
827. daydreaming - 1 use.
828. void - 1 use.
829. meaning - 1 use.
830. nailed - 1 use.
831. recall - 1 use.
832. imagine - 1 use.
833. shackles - 1 use.
834. growing - 1 use.
835. weak - 1 use.
836. hoping - 1 use.
837. sign - 1 use.
838. signs - 1 use.
839. torn - 1 use.
840. fragile - 1 use.
841. cast - 1 use.
842. aside - 1 use.
843. yours - 1 use.
844. holes - 1 use.
845. invisible - 1 use.
846. wandering - 1 use.
847. hopelessly - 1 use.
848. confuse - 1 use.
849. figure - 1 use.
850. kinda - 1 use.
851. proud - 1 use.
852. apologize - 1 use.
853. responsible - 1 use.
854. fault - 1 use.
855. crying - 1 use.
856. bound - 1 use.
857. crush - 1 use.
858. rock - 1 use.
859. thrown - 1 use.
860. match - 1 use.
861. lit - 1 use.
862. fire - 1 use.
863. wanderer - 1 use.
864. stretch - 1 use.
865. calling - 1 use.
866. yell - 1 use.
867. louder - 1 use.
868. introspection - 1 use.
869. objective - 1 use.
870. focused - 1 use.
871. self-reflection - 1 use.
872. honestly - 1 use.
873. hopeless - 1 use.
874. breed - 1 use.
875. reminders - 1 use.
876. weekend - 1 use.
877. beach - 1 use.
878. carnival - 1 use.
879. carousel - 1 use.
880. gold - 1 use.
881. hoop - 1 use.
882. earrings - 1 use.
883. shining - 1 use.
884. foggy - 1 use.
885. painting - 1 use.
886. shade - 1 use.
887. photogenic - 1 use.
888. lighting - 1 use.
889. imagined - 1 use.
890. san - 1 use.
891. francisco - 1 use.
892. depression - 1 use.
893. ahahaaa - 1 use.
894. ideas - 1 use.
895. tiger - 1 use.
896. lily - 1 use.
897. rose - 1 use.
898. garden - 1 use.
899. appreciate - 1 use.
900. bluer - 1 use.
901. notes - 1 use.
902. simplest - 1 use.
903. flower - 1 use.
904. jet - 1 use.
905. ballpoint - 1 use.
906. pen - 1 use.
907. brilliance - 1 use.
908. colourblind - 1 use.
909. disheartening - 1 use.
910. evaporates - 1 use.
911. perceptive - 1 use.
912. woman - 1 use.
913. amount - 1 use.
914. money - 1 use.
915. fun - 1 use.
916. entertainment - 1 use.
917. distract - 1 use.
918. voice - 1 use.
919. ear - 1 use.
920. tellin - 1 use.
921. everywhere - 1 use.
922. drink - 1 use.
923. kiss - 1 use.
924. keeps - 1 use.
925. liked - 1 use.
926. theyll - 1 use.
927. eventually - 1 use.
928. prettiest - 1 use.
929. dissonant - 1 use.
930. mindful - 1 use.
931. withdrawn - 1 use.
932. measure - 1 use.
933. success - 1 use.
934. luxury - 1 use.
935. excess - 1 use.
936. tripped - 1 use.
937. parts - 1 use.
938. difference - 1 use.
939. higher - 1 use.
940. low - 1 use.
941. adolescent - 1 use.
942. adult - 1 use.
943. screams - 1 use.
944. paranoid - 1 use.
945. pattern - 1 use.
946. somethings - 1 use.
947. reset - 1 use.
948. insane - 1 use.
949. collecting - 1 use.
950. craving… - 1 use.
951. unweighted - 1 use.
952. hum - 1 use.
953. currents - 1 use.
954. heavy - 1 use.
955. hangs - 1 use.
956. listen - 1 use.
957. fingertips - 1 use.
958. mist - 1 use.
959. gentle - 1 use.
960. thank - 1 use.
961. excited - 1 use.
962. paralyzed - 1 use.
963. stupid - 1 use.
964. parties - 1 use.
965. energy - 1 use.
966. dancing - 1 use.
967. stopped - 1 use.
968. batterys - 1 use.
969. showing - 1 use.
970. body - 1 use.
971. glad - 1 use.
972. stinging - 1 use.
973. knuckles - 1 use.
974. clenched - 1 use.
975. snowing - 1 use.
976. caused - 1 use.
977. shake - 1 use.
978. killing - 1 use.
979. surrounded - 1 use.
980. cancerous - 1 use.
981. breaking - 1 use.
982. disease - 1 use.
983. solitude - 1 use.
984. relief - 1 use.
985. inescapable - 1 use.
986. liars - 1 use.
987. throne - 1 use.
988. specious - 1 use.
989. upon - 1 use.
990. mask - 1 use.
991. crafted - 1 use.
992. bricks - 1 use.
