Most used words by Bleachers: 
Number of songs scanned: 39

437. known - 2 uses.
438. dressed - 2 uses.
439. sisters - 2 uses.
440. rooftop - 2 uses.
441. meant - 2 uses.
442. van - 2 uses.
443. california - 2 uses.
444. seat - 2 uses.
445. small - 2 uses.
446. cheap - 2 uses.
447. used - 2 uses.
448. yes - 2 uses.
449. flip - 2 uses.
450. burned - 2 uses.
451. doesnt - 2 uses.
452. knew - 2 uses.
453. set - 2 uses.
454. any - 2 uses.
455. breathe - 2 uses.
456. listen - 2 uses.
457. people - 2 uses.
458. spend - 2 uses.
459. enough - 2 uses.
460. safe - 2 uses.
461. star-crossed - 2 uses.
462. breathless - 2 uses.
463. scared - 2 uses.
464. park - 2 uses.
465. even - 2 uses.
466. pulling - 2 uses.
467. desire - 2 uses.
468. feet - 2 uses.
469. play - 2 uses.
470. souls - 2 uses.
471. rubber - 2 uses.
472. band - 2 uses.
473. attack - 2 uses.
474. points - 2 uses.
475. sidewalk - 2 uses.
476. act - 2 uses.
477. eighteen - 2 uses.
478. staring - 2 uses.
479. ceiling - 2 uses.
480. end - 2 uses.
481. door - 2 uses.
482. em - 2 uses.
483. kims - 2 uses.
484. video - 2 uses.
485. goes - 2 uses.
486. couldnt - 2 uses.
487. puts - 2 uses.
488. longer - 2 uses.
489. clear - 2 uses.
490. anymore - 2 uses.
491. challenged - 2 uses.
492. heroes - 2 uses.
493. worst - 2 uses.
494. forget - 2 uses.
495. dreaming - 2 uses.
496. broke - 2 uses.
497. sides - 2 uses.
498. roll - 2 uses.
499. stuck - 2 uses.
500. born - 2 uses.
501. ignore - 2 uses.
502. slept - 2 uses.
503. praying - 2 uses.
504. easy - 2 uses.
505. thinking - 2 uses.
506. pawn - 2 uses.
507. shop - 2 uses.
508. walking - 2 uses.
509. circles - 2 uses.
510. passing - 2 uses.
511. true - 2 uses.
512. carwash - 2 uses.
513. wasted - 2 uses.
514. skin - 2 uses.
515. promise - 2 uses.
516. land - 2 uses.
517. given - 2 uses.
518. defend - 2 uses.
519. breaking - 2 uses.
520. followed - 2 uses.
521. simple - 2 uses.
522. mourn - 2 uses.
523. hungry - 2 uses.
524. called - 2 uses.
525. cold - 2 uses.
526. wonder - 2 uses.
527. today - 2 uses.
528. twisting - 2 uses.
529. seats - 2 uses.
530. indoors - 2 uses.
531. bleed - 2 uses.
532. next - 2 uses.
533. child - 2 uses.
534. saved - 2 uses.
535. nobody - 2 uses.
536. comin - 2 uses.
537. dreamin - 2 uses.
538. holdin - 2 uses.
539. finally - 2 uses.
540. chip - 2 uses.
541. guts - 2 uses.
542. might - 2 uses.
543. hanging - 2 uses.
544. bitter - 2 uses.
545. started - 2 uses.
546. held - 2 uses.
547. memory - 2 uses.
548. torture - 2 uses.
549. wondering - 2 uses.
550. doing - 2 uses.
551. exactly - 2 uses.
552. imagining - 2 uses.
553. drum - 2 uses.
554. close - 2 uses.
555. toward - 2 uses.
556. till - 2 uses.
557. dying - 2 uses.
558. preachers - 2 uses.
559. stolen - 2 uses.
560. tear - 2 uses.
561. trace - 2 uses.
562. shout - 2 uses.
563. country - 2 uses.
564. written - 2 uses.
565. behavior - 2 uses.
566. hollow - 2 uses.
567. taste - 2 uses.
568. mouth - 2 uses.
569. voice - 2 uses.
570. loud - 2 uses.
571. yayayayaya - 2 uses.
572. wed - 2 uses.
573. bullet - 2 uses.
574. overpass - 2 uses.
575. dim - 1 use.
576. hurting - 1 use.
577. in-between - 1 use.
578. open - 1 use.
579. stare - 1 use.
580. tight - 1 use.
581. behave - 1 use.
582. saying - 1 use.
583. moving - 1 use.
584. under - 1 use.
585. lie - 1 use.
586. comedian - 1 use.
587. grabbing - 1 use.
588. backseat - 1 use.
589. pie - 1 use.
590. wear - 1 use.
591. mine - 1 use.
592. red - 1 use.
593. 16 - 1 use.
594. weekends - 1 use.
595. working - 1 use.
596. laugh - 1 use.
597. weekend - 1 use.
598. villain - 1 use.
599. harder - 1 use.
600. ninety-one - 1 use.
601. white - 1 use.
602. green - 1 use.
603. dances - 1 use.
604. seam - 1 use.
605. waltzes - 1 use.
606. went - 1 use.
607. boards - 1 use.
608. kick - 1 use.
609. frames - 1 use.
610. tattoo - 1 use.
611. fucking - 1 use.
612. sleeve - 1 use.
613. walks - 1 use.
614. along - 1 use.
615. steals - 1 use.
616. flickers - 1 use.
617. asking - 1 use.
618. forth - 1 use.
619. herb - 1 use.
620. check - 1 use.
621. mirror - 1 use.
622. town - 1 use.
623. touch - 1 use.
624. happens - 1 use.
625. bike - 1 use.
626. fly - 1 use.
627. lookin - 1 use.
628. field - 1 use.
629. stake - 1 use.
630. somebodys - 1 use.
631. quit - 1 use.
632. other - 1 use.
633. together - 1 use.
634. medicine - 1 use.
635. bobby - 1 use.
636. college - 1 use.
637. playing - 1 use.
638. bye - 1 use.
639. crowded - 1 use.
640. kind - 1 use.
641. hats - 1 use.
642. kennedys - 1 use.
643. west - 1 use.
644. strangers - 1 use.
645. boxes - 1 use.
646. washed - 1 use.
647. mistakes - 1 use.
648. lay - 1 use.
649. awake - 1 use.
650. fighting - 1 use.
651. track - 1 use.
652. starting - 1 use.
653. refuse - 1 use.
654. afraid - 1 use.
655. unfolding - 1 use.
656. faster - 1 use.
657. precious - 1 use.
658. planning - 1 use.
659. tings - 1 use.
660. alphabet - 1 use.
661. sounds - 1 use.
662. spanish - 1 use.
663. thing - 1 use.
664. school - 1 use.
665. uh - 1 use.
666. couple - 1 use.
667. months - 1 use.
668. um - 1 use.
669. its- - 1 use.
670. ok- - 1 use.
671. expensive - 1 use.
672. full - 1 use.
673. dress - 1 use.
674. glasses - 1 use.
675. frankie - 1 use.
676. worthless - 1 use.
677. build - 1 use.
678. friday - 1 use.
679. please - 1 use.
680. drives - 1 use.
681. wander - 1 use.
682. u - 1 use.
683. dreamt - 1 use.
684. state - 1 use.
685. kinds - 1 use.
686. recognise - 1 use.
687. once - 1 use.
688. currency - 1 use.
689. shimmering - 1 use.
690. balance - 1 use.
691. laughed - 1 use.
692. coloured - 1 use.
693. parents - 1 use.
694. t-shirt - 1 use.
695. sleeves - 1 use.
696. claim - 1 use.
697. continent - 1 use.
698. edge - 1 use.
699. waking - 1 use.
700. heartless - 1 use.
701. walked - 1 use.
702. ring - 1 use.
703. wristwatch - 1 use.
704. cleaned - 1 use.
705. bought - 1 use.
706. should - 1 use.
707. cheated - 1 use.
708. photograph - 1 use.
709. reading - 1 use.
710. russian - 1 use.
711. books - 1 use.
712. begin - 1 use.
713. disguise - 1 use.
714. guard - 1 use.
715. darkest - 1 use.
716. finding - 1 use.
717. harshest - 1 use.
718. vision - 1 use.
719. loves - 1 use.
720. tried - 1 use.
721. write - 1 use.
722. wall - 1 use.
723. bout - 1 use.
724. tightly - 1 use.
725. low - 1 use.
726. knees - 1 use.
727. beg - 1 use.
728. pushed - 1 use.
729. farther - 1 use.
730. angry - 1 use.
731. yell - 1 use.
732. wholl - 1 use.
733. fool - 1 use.
734. seen - 1 use.
735. guess - 1 use.
736. wire - 1 use.
737. having - 1 use.
738. cashed - 1 use.
739. checks - 1 use.
740. places - 1 use.
741. million - 1 use.
742. motherfucker - 1 use.
743. scream - 1 use.
744. strangest - 1 use.
745. roads - 1 use.
746. hurts - 1 use.
747. ride - 1 use.
748. demand - 1 use.
749. number - 1 use.
750. waitin - 1 use.
751. party - 1 use.
752. trick - 1 use.
753. pill - 1 use.
754. pic - 1 use.
755. switch - 1 use.
756. sights - 1 use.
757. watin - 1 use.
758. apart - 1 use.
759. whole - 1 use.
760. stood - 1 use.
761. babe - 1 use.
762. kissin - 1 use.
763. devil - 1 use.
764. playin - 1 use.
765. nowhere - 1 use.
766. ways - 1 use.
767. bets - 1 use.
768. winding - 1 use.
769. choice - 1 use.
770. choose - 1 use.
771. slips - 1 use.
772. themselves - 1 use.
773. cannot - 1 use.
774. shaking - 1 use.
775. regret - 1 use.
776. follows - 1 use.
777. win - 1 use.
778. played - 1 use.
779. victim - 1 use.
780. grow - 1 use.
781. younger - 1 use.
782. leads - 1 use.
783. river - 1 use.
784. runs - 1 use.
785. summers - 1 use.
786. somewhere - 1 use.
787. beating - 1 use.
788. breath - 1 use.
789. sixteen - 1 use.
790. florida - 1 use.
791. kinda - 1 use.
792. imagine - 1 use.
793. pack - 1 use.
794. suitcase - 1 use.
795. bare - 1 use.
796. lives - 1 use.
797. living - 1 use.
798. identity - 1 use.
799. bet - 1 use.
800. carryin - 1 use.
801. cryin - 1 use.
802. ahhhhh - 1 use.
803. hush - 1 use.
804. count - 1 use.
805. consider - 1 use.
806. drinking - 1 use.
807. yard - 1 use.
808. hang - 1 use.
809. perfect - 1 use.
810. hallways - 1 use.
811. blessings - 1 use.
812. elses - 1 use.
813. flowers - 1 use.
814. neighbors - 1 use.
815. pot - 1 use.
816. torn - 1 use.
817. hopes - 1 use.
818. compass - 1 use.
819. across - 1 use.
820. bridge - 1 use.
821. east - 1 use.
822. music - 1 use.
823. 90s - 1 use.
824. carving - 1 use.
825. lasts - 1 use.
826. book - 1 use.
827. naggings - 1 use.
828. hum - 1 use.
829. basement - 1 use.
830. outs - 1 use.
831. sake - 1 use.
832. hates - 1 use.
833. daniel - 1 use.
834. gods - 1 use.
835. jimmys - 1 use.
836. fathers - 1 use.
837. ma - 1 use.
838. sixty-five - 1 use.
839. mammas - 1 use.
840. jersey - 1 use.
841. ray - 1 use.
842. drive - 1 use.
843. signs - 1 use.
844. worth - 1 use.
845. three - 1 use.
