Most used words by Dodie: 
Number of songs scanned: 104

596. grin - 3 uses.
597. sitting - 3 uses.
598. brave - 3 uses.
599. hide - 3 uses.
600. path - 3 uses.
601. both - 3 uses.
602. fairy - 3 uses.
603. tommy - 3 uses.
604. rivers - 3 uses.
605. lifts - 3 uses.
606. intertwined - 3 uses.
607. hello - 3 uses.
608. filling - 3 uses.
609. conversation - 3 uses.
610. mystery - 3 uses.
611. bloom - 3 uses.
612. wondering - 3 uses.
613. expect - 3 uses.
614. perfectly - 3 uses.
615. dress - 3 uses.
616. crying - 3 uses.
617. nearly - 3 uses.
618. fish - 3 uses.
619. nose - 3 uses.
620. spark - 3 uses.
621. raise - 3 uses.
622. wants - 3 uses.
623. bleed - 3 uses.
624. beg - 3 uses.
625. screen - 3 uses.
626. laughing - 3 uses.
627. cried - 3 uses.
628. simpsons - 3 uses.
629. minutes - 3 uses.
630. admit - 3 uses.
631. cartoon - 3 uses.
632. dentist - 3 uses.
633. werent - 3 uses.
634. friday - 3 uses.
635. sir - 3 uses.
636. stoked - 3 uses.
637. coloured - 3 uses.
638. band - 3 uses.
639. breathe - 3 uses.
640. hurting - 3 uses.
641. stood - 3 uses.
642. together - 3 uses.
643. year - 3 uses.
644. probably - 3 uses.
645. bedroom - 3 uses.
646. sad - 3 uses.
647. floor - 3 uses.
648. chew - 3 uses.
649. mediocre - 3 uses.
650. braces - 3 uses.
651. bikes - 3 uses.
652. doodles - 3 uses.
653. stories - 3 uses.
654. coursework - 3 uses.
655. clear - 3 uses.
656. wearing - 3 uses.
657. completely - 3 uses.
658. whatever - 3 uses.
659. rules - 3 uses.
660. spikes - 3 uses.
661. butterscotch - 3 uses.
662. sunshine - 3 uses.
663. stings - 3 uses.
664. adored - 3 uses.
665. stupid - 3 uses.
666. girls - 3 uses.
667. ignore - 3 uses.
668. float - 3 uses.
669. swimming - 3 uses.
670. falls - 3 uses.
671. undo - 3 uses.
672. closure - 3 uses.
673. common - 3 uses.
674. quick - 3 uses.
675. wow - 3 uses.
676. window - 3 uses.
677. daughters - 3 uses.
678. underwater - 3 uses.
679. car - 3 uses.
680. nights - 3 uses.
681. nothings - 3 uses.
682. american - 3 uses.
683. apparel - 3 uses.
684. underwear - 3 uses.
685. tattooed - 3 uses.
686. kinder - 3 uses.
687. chance - 3 uses.
688. built - 3 uses.
689. opened - 3 uses.
690. shouldnt - 3 uses.
691. favour - 3 uses.
692. smells - 3 uses.
693. lemongrass - 3 uses.
694. apple - 3 uses.
695. juice - 3 uses.
696. peach - 3 uses.
697. polaroid - 3 uses.
698. picture - 3 uses.
699. story - 3 uses.
700. freckles - 3 uses.
701. pop - 3 uses.
702. job - 3 uses.
703. brows - 3 uses.
704. planned - 3 uses.
705. sea - 3 uses.
706. tree - 3 uses.
707. waves - 3 uses.
708. memory - 3 uses.
709. fool - 3 uses.
710. ukulele - 3 uses.
711. masters - 3 uses.
712. procrastination - 3 uses.
713. fangirls - 3 uses.
714. subscribers - 3 uses.
715. nation - 3 uses.
716. dftba - 3 uses.
717. youtubers - 3 uses.
718. views - 3 uses.
719. ago - 3 uses.
720. keeps - 3 uses.
721. handsome - 3 uses.
722. stranger - 3 uses.
723. absolutely - 3 uses.
724. tequilas - 3 uses.
725. messing - 3 uses.
726. waste - 3 uses.
727. lying - 3 uses.
728. starry - 3 uses.
729. plead - 3 uses.
730. asked - 3 uses.
731. lies - 3 uses.
732. caught - 3 uses.
733. memories - 3 uses.
734. asking - 3 uses.
735. gold - 3 uses.
736. secret - 3 uses.
737. reach - 3 uses.
738. clouds - 3 uses.
739. sounds - 3 uses.
740. tune - 3 uses.
741. nervous - 3 uses.
742. touch - 3 uses.
743. aching - 3 uses.
744. sharp - 3 uses.
745. scream - 3 uses.
746. poison - 3 uses.
747. sherlocked - 3 uses.
748. penny - 3 uses.
749. drops - 3 uses.
750. paper - 3 uses.
751. actually - 3 uses.
752. fact - 3 uses.
753. mosquito - 3 uses.
754. cream - 3 uses.
755. depend - 3 uses.
756. sucking - 3 uses.
757. vein - 3 uses.
758. buzzing - 3 uses.
759. bitten - 3 uses.
760. thirty - 3 uses.
761. darling - 3 uses.
762. december - 3 uses.
763. confused - 3 uses.
764. charm - 3 uses.
765. nightmare - 3 uses.
766. crush - 3 uses.
767. aim - 3 uses.
768. dread - 3 uses.
769. diamonds - 3 uses.
770. dooooo - 3 uses.
771. metals - 3 uses.
772. roses - 3 uses.
773. petals - 3 uses.
774. yooooouu - 3 uses.
775. flow - 3 uses.
776. sorrow - 3 uses.
777. vital - 3 uses.
778. blew - 3 uses.
779. misery - 3 uses.
780. snow - 3 uses.
781. sweeties - 3 uses.
782. carrots - 3 uses.
783. cookies - 3 uses.
784. crackers - 3 uses.
785. laughter - 3 uses.
786. jokes - 3 uses.
787. brandy - 3 uses.
788. games - 3 uses.
789. movies - 3 uses.
790. fireplace - 3 uses.
791. fades - 3 uses.
792. cinnamon - 3 uses.
793. glittery - 3 uses.
794. trees - 3 uses.
795. differently - 3 uses.
796. lie - 3 uses.
797. rewire - 3 uses.
798. bloody - 3 uses.
799. reminder - 3 uses.
800. patience - 3 uses.
801. breaking - 3 uses.
802. exist - 3 uses.
803. guy - 3 uses.
804. met - 3 uses.
805. butterflies - 3 uses.
806. went - 2 uses.
807. usa - 2 uses.
808. playing - 2 uses.
809. shows - 2 uses.
810. meetings - 2 uses.
811. prepping - 2 uses.
812. stuff - 2 uses.
813. weekend - 2 uses.
814. mad - 2 uses.
815. flight - 2 uses.
816. twelve - 2 uses.
817. hours - 2 uses.
818. u - 2 uses.
819. loft - 2 uses.
820. dentists - 2 uses.
821. set - 2 uses.
822. pay - 2 uses.
823. infuriating - 2 uses.
824. slowest - 2 uses.
825. air - 2 uses.
826. wheres - 2 uses.
827. mighty - 2 uses.
828. bounce - 2 uses.
829. served - 2 uses.
830. blow - 2 uses.
831. heard - 2 uses.
832. bpay - 2 uses.
833. moving - 2 uses.
834. laughs - 2 uses.
835. check - 2 uses.
836. raised - 2 uses.
837. proving - 2 uses.
838. irony - 2 uses.
839. sting - 2 uses.
840. heartbreak - 2 uses.
841. doomed - 2 uses.
842. began - 2 uses.
843. tap - 2 uses.
844. nails - 2 uses.
845. lean - 2 uses.
846. bear - 2 uses.
847. teen - 2 uses.
848. lightly - 2 uses.
849. truth - 2 uses.
850. tie - 2 uses.
851. wind - 2 uses.
852. hurricane - 2 uses.
853. candles - 2 uses.
854. poppys - 2 uses.
855. dancer - 2 uses.
856. replaced - 2 uses.
857. given - 2 uses.
858. eggshells - 2 uses.
859. push - 2 uses.
860. shove - 2 uses.
861. studio - 2 uses.
862. pair - 2 uses.
863. lacking - 2 uses.
864. worries - 2 uses.
865. performing - 2 uses.
866. pas - 2 uses.
867. de - 2 uses.
868. deux - 2 uses.
869. souls - 2 uses.
870. loves - 2 uses.
871. dances - 2 uses.
872. partner - 2 uses.
873. gaps - 2 uses.
874. neither - 2 uses.
875. fold - 2 uses.
876. illogical - 2 uses.
877. magical - 2 uses.
878. helping - 2 uses.
879. pushing - 2 uses.
880. prove - 2 uses.
881. question - 2 uses.
882. pass - 2 uses.
883. guitar - 2 uses.
884. few - 2 uses.
885. bars - 2 uses.
886. cup - 2 uses.
887. wet - 2 uses.
888. clothes - 2 uses.
889. buy - 2 uses.
890. bought - 2 uses.
891. disgusting - 2 uses.
892. mayonnaise - 2 uses.
893. drew - 2 uses.
894. somebody - 2 uses.
895. seventeen - 2 uses.
896. eight - 2 uses.
897. older - 2 uses.
898. younger - 2 uses.
899. pictures - 2 uses.
900. unfair - 2 uses.
901. kidding - 2 uses.
902. heels - 2 uses.
903. sofa - 2 uses.
904. half - 2 uses.
905. cover - 2 uses.
906. voice - 2 uses.
907. scared - 2 uses.
908. burn - 2 uses.
909. strokes - 2 uses.
910. craft - 2 uses.
911. sob - 2 uses.
912. marge - 2 uses.
913. sign - 2 uses.
914. gums - 2 uses.
915. sore - 2 uses.
916. needles - 2 uses.
917. worrying - 2 uses.
918. week - 2 uses.
919. sugars - 2 uses.
920. shed - 2 uses.
921. shiny - 2 uses.
922. books - 2 uses.
923. key - 2 uses.
924. case - 2 uses.
925. rooms - 2 uses.
926. notes - 2 uses.
927. spending - 2 uses.
928. favourite - 2 uses.
929. scary - 2 uses.
930. heat - 2 uses.
931. afraid - 2 uses.
932. forgotten - 2 uses.
933. turns - 2 uses.
