Most used words by EDEN: 
Number of songs scanned: 82

425. everyone - 4 uses.
426. drowning - 4 uses.
427. sight - 4 uses.
428. self - 4 uses.
429. youth - 4 uses.
430. circles - 4 uses.
431. finally - 4 uses.
432. kairos - 4 uses.
433. heartbreak - 4 uses.
434. slip - 4 uses.
435. older - 4 uses.
436. breaks - 4 uses.
437. 16 - 4 uses.
438. stole - 4 uses.
439. ooh - 4 uses.
440. driving - 4 uses.
441. shooting - 4 uses.
442. shot - 4 uses.
443. blow - 4 uses.
444. ground - 4 uses.
445. none - 4 uses.
446. tide - 4 uses.
447. following - 4 uses.
448. shone - 4 uses.
449. storm - 4 uses.
450. isnt - 4 uses.
451. broken - 4 uses.
452. city - 4 uses.
453. later - 4 uses.
454. tiring - 4 uses.
455. backs - 4 uses.
456. lord - 4 uses.
457. saturday - 4 uses.
458. speaking - 4 uses.
459. liar - 4 uses.
460. built - 4 uses.
461. piece - 4 uses.
462. speak - 4 uses.
463. endless - 4 uses.
464. ending - 4 uses.
465. top - 4 uses.
466. lungs - 4 uses.
467. grow - 4 uses.
468. dust - 4 uses.
469. cut - 4 uses.
470. worst - 4 uses.
471. goes - 4 uses.
472. exactly - 4 uses.
473. blur - 4 uses.
474. fallin - 4 uses.
475. ours - 4 uses.
476. touch - 4 uses.
477. price - 4 uses.
478. pay - 4 uses.
479. brave - 4 uses.
480. invisible - 4 uses.
481. weeks - 4 uses.
482. kiss - 4 uses.
483. rather - 4 uses.
484. highlights - 4 uses.
485. coward - 4 uses.
486. skys - 4 uses.
487. passing - 4 uses.
488. chalk - 4 uses.
489. nuits - 4 uses.
490. reaching - 4 uses.
491. drink - 3 uses.
492. smoke - 3 uses.
493. fallings - 3 uses.
494. seeing - 3 uses.
495. keeping - 3 uses.
496. awake - 3 uses.
497. step - 3 uses.
498. mistakes - 3 uses.
499. line - 3 uses.
500. futures - 3 uses.
501. bright - 3 uses.
502. taken - 3 uses.
503. nocturnal - 3 uses.
504. worth - 3 uses.
505. beauty - 3 uses.
506. billie - 3 uses.
507. jean - 3 uses.
