Most used words by Blur: 
Number of songs scanned: 146

768. dance - 3 uses.
769. cowboy - 3 uses.
770. race - 3 uses.
771. thin - 3 uses.
772. food - 3 uses.
773. faint - 3 uses.
774. breathing - 3 uses.
775. miss - 3 uses.
776. battery - 3 uses.
777. stuck - 3 uses.
778. ground - 3 uses.
779. lately - 3 uses.
780. sorry - 3 uses.
781. fed - 3 uses.
782. surely - 3 uses.
783. itch - 3 uses.
784. message - 3 uses.
785. theyll - 3 uses.
786. pissing - 3 uses.
787. saliva - 3 uses.
788. fever - 3 uses.
789. believer - 3 uses.
790. joke - 3 uses.
791.  - 3 uses.
792. veins - 3 uses.
793. conversation - 3 uses.
794. voice - 3 uses.
795. average - 3 uses.
796. believers - 3 uses.
797. badgeman - 3 uses.
798. brown - 3 uses.
799. chinese - 3 uses.
800. jump - 3 uses.
801. walls - 3 uses.
802. poor - 3 uses.
803. cliffs - 3 uses.
804. dover - 3 uses.
805. years - 3 uses.
806. lines - 3 uses.
807. goal - 3 uses.
808. flu - 3 uses.
809. case - 3 uses.
810. washed - 3 uses.
811. five - 3 uses.
812. born - 3 uses.
813. draws - 3 uses.
814. cows - 3 uses.
815. tight - 3 uses.
816. la-da-de-da - 3 uses.
817. suburbs - 3 uses.
818. queue - 3 uses.
819. whats - 3 uses.
820. child - 3 uses.
821. monkeys - 3 uses.
822. broke - 3 uses.
823. early - 3 uses.
824. jellybean - 3 uses.
825. sisters - 3 uses.
826. rebuild - 3 uses.
827. drug - 3 uses.
828. takers - 3 uses.
829. machine - 3 uses.
830. burning - 3 uses.
831. bus - 3 uses.
832. although - 3 uses.
833. quite - 3 uses.
834. tired - 3 uses.
835. half - 3 uses.
836. go-getter - 3 uses.
837. top - 3 uses.
838. homes - 3 uses.
839. families - 3 uses.
840. beach - 3 uses.
841. psycho - 3 uses.
842. hooligan - 3 uses.
843. guerilla - 3 uses.
844. riot - 3 uses.
845. parole - 3 uses.
846. card - 3 uses.
847. lalala - 3 uses.
848. four - 3 uses.
849. fifteen - 3 uses.
850. dogs - 3 uses.
851. colour - 3 uses.
852. glass - 3 uses.
853. forgetting - 3 uses.
854. remain - 3 uses.
855. streets - 3 uses.
856. island - 3 uses.
857. mausoleums - 3 uses.
858. avenues - 3 uses.
859. pink - 3 uses.
860. bathed - 3 uses.
861. fading - 3 uses.
862. rising - 3 uses.
863. cherry - 3 uses.
864. pyongyang - 3 uses.
865. bang - 3 uses.
866. moon - 3 uses.
867. harder - 3 uses.
868. ship - 3 uses.
869. drowning - 3 uses.
870. boarding - 3 uses.
871. shine - 3 uses.
872. enjoyment - 3 uses.
873. cheers - 3 uses.
874. pack - 3 uses.
875. both - 3 uses.
876. boredom - 3 uses.
877. sober - 3 uses.
878. weekends - 3 uses.
879. hip-hip-hooray - 3 uses.
880. stairs - 3 uses.
881. amour - 3 uses.
882. mace - 3 uses.
883. pop - 3 uses.
884. drunk - 3 uses.
885. poorly - 3 uses.
886. health - 2 uses.
887. mobile - 2 uses.
888. bone - 2 uses.
889. stone - 2 uses.
890. hit - 2 uses.
891. tide - 2 uses.
892. fast - 2 uses.
893. jumped - 2 uses.
894. robinson - 2 uses.
895. quango - 2 uses.
896. expensive - 2 uses.
897. runs - 2 uses.
898. private - 2 uses.
899. self-professed - 2 uses.
900. saviour - 2 uses.
901. dim - 2 uses.
902. wing - 2 uses.
903. respiratory - 2 uses.
904. problems - 2 uses.
905. masons - 2 uses.
906. ring - 2 uses.
907. drinks - 2 uses.
908. fit - 2 uses.
909. sits - 2 uses.
910. ran - 2 uses.
911. wall - 2 uses.
912. knickers - 2 uses.
913. loose - 2 uses.
914. mad - 2 uses.
915. motor - 2 uses.
916. violence - 2 uses.
917. chance - 2 uses.
918. warning - 2 uses.
919. careful - 2 uses.
920. crowd - 2 uses.
921. spot - 2 uses.
922. carpet - 2 uses.
923. pavement - 2 uses.
924. service - 2 uses.
925. nobody - 2 uses.
926. june - 2 uses.
927. sent - 2 uses.
928. crime - 2 uses.
929. cracks - 2 uses.
930. yuko - 2 uses.
931. hiro - 2 uses.
932. monday - 2 uses.
933. wareware - 2 uses.
934. wa - 2 uses.
935. kaisha - 2 uses.
936. de - 2 uses.
937. hataraiteiru - 2 uses.
938. itsumo - 2 uses.
939. karera - 2 uses.
940. ga - 2 uses.
941. mamotte - 2 uses.
942. kureru - 2 uses.
943. ni - 2 uses.
944. 45 - 2 uses.
945. lady - 2 uses.
946. hallway - 2 uses.
947. dumb - 2 uses.
948. buzz - 2 uses.
949. warm - 2 uses.
950. walked - 2 uses.
951. circles - 2 uses.
952. zeal - 2 uses.
953. affable - 2 uses.
954. retard - 2 uses.
955. bombast - 2 uses.
956. terminal - 2 uses.
957. tan - 2 uses.
958. standing - 2 uses.
959. sat - 2 uses.
960. began - 2 uses.
961. airs - 2 uses.
962. shares - 2 uses.
963. respect - 2 uses.
964. anywhere - 2 uses.
965. nose - 2 uses.
966. tries - 2 uses.
967. seamless - 2 uses.
968. -row-row-row-row - 2 uses.
969. seeing - 2 uses.
970. rhymes - 2 uses.
971. -row-row - 2 uses.
972. smile - 2 uses.
973. freeze - 2 uses.
974. toes - 2 uses.
975. suppose - 2 uses.
976. next - 2 uses.
977. universals - 2 uses.
978. songs - 2 uses.
979. along - 2 uses.
980. tomorrows - 2 uses.
981. skies - 2 uses.
982. snow - 2 uses.
983. stood - 2 uses.
984. jet - 2 uses.
985. fell - 2 uses.
986. switch - 2 uses.
987. clever - 2 uses.
988. blown - 2 uses.
989. even - 2 uses.
990. praying - 2 uses.
991. immortality - 2 uses.
992. pose - 2 uses.
993. question - 2 uses.
994. stray - 2 uses.
995. windows - 2 uses.
996. share - 2 uses.
997. leads - 2 uses.
998. mortality - 2 uses.
999. store - 2 uses.
1000. led - 2 uses.
1001. hurts - 2 uses.
1002. friend - 2 uses.
1003. turned - 2 uses.
1004. lover - 2 uses.
1005. collect - 2 uses.
1006. band - 2 uses.
1007. helping - 2 uses.
1008. image - 2 uses.
1009. particular - 2 uses.
1010. clone - 2 uses.
