Most used words by Grayscale: 
Number of songs scanned: 55

567. rest - 3 uses.
568. wanted - 3 uses.
569. stood - 3 uses.
570. celebrate - 3 uses.
571. violet - 3 uses.
572. free - 3 uses.
573. wonderful - 3 uses.
574. finally - 3 uses.
575. stick - 3 uses.
576. jesse - 3 uses.
577. breed - 3 uses.
578. notice - 3 uses.
579. porch - 3 uses.
580. attacks - 3 uses.
581. crashes - 3 uses.
582. bridge - 3 uses.
583. smoke - 3 uses.
584. started - 3 uses.
585. father - 3 uses.
586. suicide - 3 uses.
587. adrift - 3 uses.
588. visceral - 3 uses.
589. ooh-ooh-ooh-ooh-ooh - 3 uses.
590. pouring - 3 uses.
591. saved - 3 uses.
592. tears - 3 uses.
593. badly - 3 uses.
594. somebody - 3 uses.
595. kiss - 3 uses.
596. pass - 2 uses.
597. followed - 2 uses.
598. hills - 2 uses.
599. somewhere - 2 uses.
600. thick - 2 uses.
601. frozen - 2 uses.
602. shape - 2 uses.
603. amends - 2 uses.
604. lived - 2 uses.
605. candles - 2 uses.
606. throw - 2 uses.
607. tableau - 2 uses.
608. project - 2 uses.
609. train - 2 uses.
610. course - 2 uses.
611. moment - 2 uses.
612. laid - 2 uses.
613. thundering - 2 uses.
614. show - 2 uses.
615. jump - 2 uses.
616. steps - 2 uses.
617. serene - 2 uses.
618. getting - 2 uses.
619. next - 2 uses.
620. five - 2 uses.
621. needed - 2 uses.
622. happiest - 2 uses.
623. except - 2 uses.
624. sure - 2 uses.
625. heads - 2 uses.
626. storm - 2 uses.
627. ran - 2 uses.
628. biting - 2 uses.
629. waltzes - 2 uses.
630. dared - 2 uses.
631. beach - 2 uses.
632. close - 2 uses.
633. humming - 2 uses.
634. worst - 2 uses.
635. news - 2 uses.
636. sand - 2 uses.
637. couple - 2 uses.
638. tear - 2 uses.
639. raider - 2 uses.
640. law - 2 uses.
641. loves - 2 uses.
642. sad - 2 uses.
643. bikes - 2 uses.
644. johns - 2 uses.
645. shitty - 2 uses.
646. common - 2 uses.
647. work - 2 uses.
648. stories - 2 uses.
649. after - 2 uses.
650. riding - 2 uses.
651. knees - 2 uses.
652. spent - 2 uses.
653. fighting - 2 uses.
654. addiction - 2 uses.
655. shame - 2 uses.
656. faded - 2 uses.
657. dust - 2 uses.
658. floating - 2 uses.
659. sink - 2 uses.
660. reminder - 2 uses.
661. lord - 2 uses.
662. kills - 2 uses.
663. tourniquet - 2 uses.
664. son - 2 uses.
665. chest - 2 uses.
666. breathe - 2 uses.
667. lungs - 2 uses.
668. insane - 2 uses.
669. dreaming - 2 uses.
670. color - 2 uses.
671. turned - 2 uses.
672. anew - 2 uses.
673. sheets - 2 uses.
674. bloom - 2 uses.
675. lay - 2 uses.
676. walked - 2 uses.
677. garden - 2 uses.
678. plans - 2 uses.
679. august - 2 uses.
680. together - 2 uses.
681. shattered - 2 uses.
682. worse - 2 uses.
683. beaten - 2 uses.
684. outta - 2 uses.
685. help - 2 uses.
686. fingers - 2 uses.
687. problem - 2 uses.
688. write - 2 uses.
689. hit - 2 uses.
690. movin - 2 uses.
691. caught - 2 uses.
692. job - 2 uses.
693. opinion - 2 uses.
694. small - 2 uses.
695. desperate - 2 uses.
696. hopeless - 2 uses.
697. comes - 2 uses.
698. near - 2 uses.
699. replaced - 2 uses.
700. sadness - 2 uses.
701. teary - 2 uses.
702. couch - 2 uses.
703. damage - 2 uses.
704. caused - 2 uses.
705. leaves - 2 uses.
706. 6 - 2 uses.
707. unsettling - 2 uses.
708. brings - 2 uses.
709. mist - 2 uses.
710. rescue - 2 uses.
711. handle - 2 uses.
712. smiling - 2 uses.
713. damn - 2 uses.
714. pick - 2 uses.
715. driveway - 2 uses.
716. matte - 2 uses.
717. 70s - 2 uses.
718. benz - 2 uses.
719. puts - 2 uses.
720. footing - 2 uses.
721. blooming - 2 uses.
722. weve - 2 uses.
723. gotta - 2 uses.
724. picture - 2 uses.
725. heading - 2 uses.
726. person - 2 uses.
727. feed - 2 uses.
