Most used words by Mallrat: 
Number of songs scanned: 19

480. weight - 1 use.
481. freight - 1 use.
482. ordered - 1 use.
483. online - 1 use.
484. arrive - 1 use.
485. waking - 1 use.
486. arrived - 1 use.
487. thank - 1 use.
488. lunch - 1 use.
489. ones - 1 use.
490. taught - 1 use.
491. lies - 1 use.
492. texa- - 1 use.
493. art - 1 use.
494. song - 1 use.
495. first - 1 use.
496. dirt - 1 use.
497. accept - 1 use.
498. heartbroke - 1 use.
499. sometimes - 1 use.
500. eighties - 1 use.
501. music - 1 use.
502. hours - 1 use.
503. straight - 1 use.
504. escape - 1 use.
505. devos - 1 use.
506. brain - 1 use.
507. overdose - 1 use.
508. comatose - 1 use.
509. hydrogen - 1 use.
510. peroxide - 1 use.
511. piece - 1 use.
512. toast - 1 use.
513. michael - 1 use.
514. hutchence - 1 use.
515. save - 1 use.
516. rum - 1 use.
517. ms - 1 use.
518. hannigan - 1 use.
519. cameron - 1 use.
520. diaz - 1 use.
521. superstar - 1 use.
522. rehab - 1 use.
523. inxs - 1 use.
524. video - 1 use.
525. fat - 1 use.
526. beautiful - 1 use.
527. whats - 1 use.
528. released - 1 use.
529. 1990 - 1 use.
530. centrelink - 1 use.
531. realistically - 1 use.
532. commit - 1 use.
533. successfully - 1 use.
534. prophecy - 1 use.
535. along - 1 use.
536. suicide - 1 use.
537. blonde - 1 use.
538. couple - 1 use.
539. nights - 1 use.
540. guess - 1 use.
541. lie - 1 use.
542. everybodys - 1 use.
543. born - 1 use.
544. shooting - 1 use.
545. stones - 1 use.
546. panes - 1 use.
547. cute - 1 use.
548. move - 1 use.
549. memory - 1 use.
550. head - 1 use.
551. nine - 1 use.
552. et - 1 use.
553. cetera - 1 use.
554. betera - 1 use.
555. insta - 1 use.
556. photos - 1 use.
557. shallow - 1 use.
558. swimming - 1 use.
559. melanomas - 1 use.
560. focus - 1 use.
561. lights - 1 use.
562. space - 1 use.
563. craft - 1 use.
564. pointed - 1 use.
565. ray - 1 use.
566. gun - 1 use.
567. quasar - 1 use.
568. guessed - 1 use.
569. aimed - 1 use.
570. memories - 1 use.
571. moments - 1 use.
572. legendary - 1 use.
573. hopeless - 1 use.
574. glowing - 1 use.
575. oreoin - 1 use.
576. mulling - 1 use.
577. four - 1 use.
578. leaf - 1 use.
579. clovers - 1 use.
580. course - 1 use.
581. until - 1 use.
582. worm - 1 use.
583. ready - 1 use.
584. deadbeat - 1 use.
585. underneath - 1 use.
586. truck - 1 use.
587. mention - 1 use.
588. screaming - 1 use.
589. attention - 1 use.
590. above - 1 use.
591. air - 1 use.
592. pollution - 1 use.
593. oceans - 1 use.
594. resolution - 1 use.
595. loner - 1 use.
596. rarely - 1 use.
597. extra - 1 use.
598. wanted - 1 use.
599. judge - 1 use.
600. observations - 1 use.
601. avoid - 1 use.
602. situation - 1 use.
603. patient - 1 use.
604. rather - 1 use.
605. obligatoin - 1 use.
606. flirt - 1 use.
607. twice - 1 use.
608. fights - 1 use.
609. darling - 1 use.
610. guessing - 1 use.
611. crazy - 1 use.
612. messing - 1 use.
613. playing - 1 use.
614. games - 1 use.
615. keeping - 1 use.
616. loved - 1 use.
617. backwoods - 1 use.
618. moving - 1 use.
619. forwards - 1 use.
620. slipping - 1 use.
621. backwards - 1 use.
622. tragic - 1 use.
623. slick - 1 use.
624. cashing - 1 use.
625. magic - 1 use.
626. movie - 1 use.
627. scene - 1 use.
628. standing - 1 use.
629. til - 1 use.
630. babe - 1 use.
631. dad - 1 use.
632. worked - 1 use.
633. west - 1 use.
634. works - 1 use.
635. hard - 1 use.
636. mom - 1 use.
637. smells - 1 use.
638. cigarettes - 1 use.
639. broke - 1 use.
640. others - 1 use.
641. chess - 1 use.
642. game - 1 use.
643. boys - 1 use.
644. chasing - 1 use.
645. advice - 1 use.
646. raised - 1 use.
647. sneak - 1 use.
648. heartfelt - 1 use.
649. ice - 1 use.
650. melts - 1 use.
651. winter - 1 use.
652. turns - 1 use.
653. spring - 1 use.
654. pictures - 1 use.
655. hoarder - 1 use.
656. lead - 1 use.
657. horse - 1 use.
658. water - 1 use.
659. lately - 1 use.
660. goodnight - 1 use.
661. phone - 1 use.
662. tone - 1 use.
663. gracie - 1 use.
664. insane - 1 use.
665. eat - 1 use.
666. aye - 1 use.
667. windows - 1 use.
668. worry - 1 use.
669. world - 1 use.
670. true - 1 use.
671. both - 1 use.
672. mess - 1 use.
673. offend - 1 use.
674. easily - 1 use.
675. worrying - 1 use.
676. changed - 1 use.
677. wanting - 1 use.
678. makeups - 1 use.
679. ending - 1 use.
680. disregard - 1 use.
681. lost - 1 use.
682. house - 1 use.
683. hill - 1 use.
684. rude - 1 use.
685. calls - 1 use.
686. tryna - 1 use.
687. heels - 1 use.
688. smiling - 1 use.
689. joking - 1 use.
690. sure - 1 use.
691. mother - 1 use.
692. other - 1 use.
693. knocking - 1 use.
694. opened - 1 use.
695. door - 1 use.
696. nobody - 1 use.
697. report - 1 use.
698. reminds - 1 use.
699. ghost - 1 use.
700. looked - 1 use.
701. sleepin - 1 use.
702. snow - 1 use.
703. stopped - 1 use.
704. guitar - 1 use.
705. break - 1 use.
706. half - 1 use.
707. arms - 1 use.
708. scars - 1 use.
709. park - 1 use.
710. feed - 1 use.
711. sharks - 1 use.
712. mmm - 1 use.
713. i— - 1 use.
