Most used words by Deftones: 
Number of songs scanned: 132

509. ah - 4 uses.
510. drop - 4 uses.
511. choke - 4 uses.
512. waiting - 4 uses.
513. kick - 4 uses.
514. hot - 4 uses.
515. flown - 4 uses.
516. switch - 4 uses.
517. circles - 4 uses.
518. stasis - 4 uses.
519. ancient - 4 uses.
520. apart - 4 uses.
521. spell - 4 uses.
522. angel - 4 uses.
523. mouth - 4 uses.
524. rapture - 4 uses.
525. seems - 4 uses.
526. broken - 4 uses.
527. grow - 4 uses.
528. pulled - 4 uses.
529. claws - 4 uses.
530. explain - 4 uses.
531. late - 4 uses.
532. went - 4 uses.
533. breath - 4 uses.
534. bringin - 4 uses.
535. months - 4 uses.
536. sharing - 4 uses.
537. fight - 4 uses.
538. warm - 4 uses.
539. yet - 4 uses.
540. miles - 4 uses.
541. locked - 4 uses.
542. streets - 4 uses.
543. fresh - 4 uses.
544. mess - 4 uses.
545. bitch - 4 uses.
546. grid - 4 uses.
547. planes - 4 uses.
548. trance - 4 uses.
549. kept - 4 uses.
550. fault - 4 uses.
551. bones - 4 uses.
552. girls - 4 uses.
553. closer - 4 uses.
554. distant - 4 uses.
555. keeps - 4 uses.
556. wanted - 4 uses.
557. ropes - 4 uses.
558. taking - 4 uses.
559. dive - 4 uses.
560. scene - 4 uses.
561. picture - 4 uses.
562. inspite - 4 uses.
563. underneath - 4 uses.
564. babe - 4 uses.
565. disease - 4 uses.
566. nice - 4 uses.
567. winded - 4 uses.
568. fallen - 4 uses.
569. numb - 4 uses.
570. repent - 4 uses.
571. between - 4 uses.
572. shooting - 4 uses.
573. hours - 4 uses.
574. cruising - 4 uses.
575. fit - 4 uses.
576. falling - 4 uses.
577. disapear - 4 uses.
578. white - 4 uses.
579. float - 4 uses.
580. shades - 4 uses.
581. minds - 4 uses.
582. shifting - 4 uses.
583. thinking - 4 uses.
584. poison - 4 uses.
585. silence - 4 uses.
586. fur - 4 uses.
587. enough - 4 uses.
588. perfection - 4 uses.
589. any - 4 uses.
590. enter - 4 uses.
591. crawl - 4 uses.
592. regret - 4 uses.
593. realign - 4 uses.
594. lead - 4 uses.
595. razor - 4 uses.
596. wire - 4 uses.
597. spirit - 4 uses.
598. loved - 4 uses.
599. obvious - 4 uses.
600. axe - 4 uses.
601. carling - 4 uses.
602. pretend - 4 uses.
603. soothing - 4 uses.
604. genius - 4 uses.
605. cash - 4 uses.
606. share - 4 uses.
607. whose - 4 uses.
608. ground - 4 uses.
609. curious - 4 uses.
610. attempt - 4 uses.
611. thinkin - 4 uses.
612. soulfly - 4 uses.
613. classical - 4 uses.
614. universe - 3 uses.
615. waits - 3 uses.
616. heaven - 3 uses.
617. waving - 3 uses.
618. looks - 3 uses.
619. attention - 3 uses.
620. guide - 3 uses.
621. curse - 3 uses.
622. street - 3 uses.
623. key - 3 uses.
624. lions - 3 uses.
625. psycho - 3 uses.
626. gods - 3 uses.
627. climbed - 3 uses.
628. weve - 3 uses.
629. thousand - 3 uses.
630. years - 3 uses.
631. praises - 3 uses.
632. bathe - 3 uses.
633. promised - 3 uses.
634. raise - 3 uses.
635. reach - 3 uses.
636. shedding - 3 uses.
637. showing - 3 uses.
638. texture - 3 uses.
639. pray - 3 uses.
640. ocean - 3 uses.
641. hollow - 3 uses.
642. mold - 3 uses.
643. answer - 3 uses.
644. grass - 3 uses.
645. note - 3 uses.
646. piece - 3 uses.
647. dig - 3 uses.
648. rest - 3 uses.
649. feed - 3 uses.
650. crying - 3 uses.
651. downstairs - 3 uses.
652. boredom - 3 uses.
653. father - 3 uses.
654. everybody - 3 uses.
655. picket - 3 uses.
656. buck - 3 uses.
657. duck - 3 uses.
658. ice - 3 uses.
659. town - 3 uses.
660. curb - 3 uses.
661. nappy - 3 uses.
662. onto - 3 uses.
663. ass - 3 uses.
664. window - 3 uses.
665. horse - 3 uses.
666. jack - 3 uses.
667. balls - 3 uses.
668. child - 3 uses.
669. feeding - 3 uses.
670. loose - 3 uses.
671. fold - 3 uses.
672. screw - 3 uses.
673. son - 3 uses.
674. b*tch - 3 uses.
675. almost - 3 uses.
676. learned - 3 uses.
677. arrival - 3 uses.
678. cycle - 3 uses.
679. prize - 3 uses.
680. slide - 3 uses.
681. burning - 3 uses.
682. bury - 3 uses.
683. slipped - 3 uses.
684. smother - 3 uses.
685. fade - 3 uses.
686. disguise - 3 uses.
687. shift - 3 uses.
