Most used words by SZA: 
Number of songs scanned: 60

391. cappin - 4 uses.
392. pocket - 4 uses.
393. vision - 4 uses.
394. wondered - 4 uses.
395. clouds - 4 uses.
396. window - 4 uses.
397. few - 4 uses.
398. hating - 4 uses.
399. lately - 4 uses.
400. hand - 4 uses.
401. lines - 4 uses.
402. drawn - 4 uses.
403. firmly - 4 uses.
404. planted - 4 uses.
405. safe - 4 uses.
406. tried - 4 uses.
407. funny - 4 uses.
408. talk - 4 uses.
409. crown - 4 uses.
410. knife - 4 uses.
411. goes - 4 uses.
412. matter - 4 uses.
413. shotgun - 4 uses.
414. short - 4 uses.
415. demons - 4 uses.
416. older - 4 uses.
417. pourin - 4 uses.
418. assume - 4 uses.
419. ass - 4 uses.
420. such - 4 uses.
421. cheese - 4 uses.
422. on/off - 4 uses.
423. anywhere - 4 uses.
424. fun - 4 uses.
425. skrrr - 4 uses.
426. heels - 4 uses.
427. foolish - 4 uses.
428. creeping - 4 uses.
429. breathing - 4 uses.
430. 40 - 4 uses.
431. nothin - 4 uses.
432. unstick - 3 uses.
433. reality - 3 uses.
434. drag - 3 uses.
435. clean - 3 uses.
436. sleep - 3 uses.
437. seem - 3 uses.
438. exactly - 3 uses.
439. ache - 3 uses.
440. quiet - 3 uses.
441. bear - 3 uses.
442. hide - 3 uses.
443. parts - 3 uses.
444. doesnt - 3 uses.
445. dangerous - 3 uses.
446. dancing - 3 uses.
447. moon - 3 uses.
448. regret - 3 uses.
449. gets - 3 uses.
450. questions - 3 uses.
451. happening - 3 uses.
452. called - 3 uses.
453. collect - 3 uses.
454. play - 3 uses.
455. eye - 3 uses.
456. news - 3 uses.
457. ohhhhh - 3 uses.
458. pieces - 3 uses.
459. forgot - 3 uses.
460. waves - 3 uses.
461. loves - 3 uses.
462. picking - 3 uses.
463. true - 3 uses.
464. same - 3 uses.
465. old - 3 uses.
466. key - 3 uses.
467. grinding - 3 uses.
468. works - 3 uses.
469. selfish - 3 uses.
470. desperate - 3 uses.
471. lap - 3 uses.
472. mood - 3 uses.
473. saying - 3 uses.
474. monday - 3 uses.
475. kick - 3 uses.
476. behind - 3 uses.
477. mirror - 3 uses.
478. another - 3 uses.
479. point - 3 uses.
480. body - 3 uses.
481. cut - 3 uses.
482. line - 3 uses.
483. sayin - 3 uses.
484. forgive - 3 uses.
